,5dcff490b043890effa91b55
Pond3Fish6_TimeLeft,220.644
Type,RT
FishN,18
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,1.383
Pond3Fish7_PondTime,62.243
Pond3Fish7_PondOutcome,70
Pond3Fish7_TotalOutcome,890
Pond3Fish7_TimeLeft,209.717
Type,RT
FishN,18
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,1.261
Pond3Fish8_PondTime,74.606
Pond3Fish8_PondOutcome,80
Pond3Fish8_TotalOutcome,900
Pond3Fish8_TimeLeft,197.354
Type,RT
FishN,18
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,1.637
Pond3Fish9_PondTime,88.97
Pond3Fish9_PondOutcome,90
Pond3Fish9_TotalOutcome,910
Pond3Fish9_TimeLeft,182.99
Type,RT
FishN,18
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,12
Pond3Fish10_CatchTime,1.422
Pond3Fish10_PondTime,106.337
Pond3Fish10_PondOutcome,100
Pond3Fish10_TotalOutcome,920
Pond3Fish10_TimeLeft,165.623
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,0.758
PondTime,106.729
TimeLeft,164.729
PondOutcome,100
TotalOutcome,920
PondStart,PondStart
PondIntroTime,13.123645803425461
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,1.491
Pond8Fish1_PondTime,7.607
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,930
Pond8Fish1_TimeLeft,143.384
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.122
Pond8Fish2_PondTime,13.496
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,940
Pond8Fish2_TimeLeft,137.495
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.105
Pond8Fish3_PondTime,19.603
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,950
Pond8Fish3_TimeLeft,131.388
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,1.104
Pond8Fish4_PondTime,25.959
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,960
Pond8Fish4_TimeLeft,125.032
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.175
Pond8Fish5_PondTime,32.616
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,970
Pond8Fish5_TimeLeft,118.375
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.382
Pond8Fish6_PondTime,39.587
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,980
Pond8Fish6_TimeLeft,111.404
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,0.813
Pond8Fish7_PondTime,46.944
Pond8Fish7_PondOutcome,70
Pond8Fish7_TotalOutcome,990
Pond8Fish7_TimeLeft,104.047
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,0.853
Pond8Fish8_PondTime,54.753
Pond8Fish8_PondOutcome,80
Pond8Fish8_TotalOutcome,1000
Pond8Fish8_TimeLeft,96.238
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,0.98
Pond8Fish9_PondTime,63.111
Pond8Fish9_PondOutcome,90
Pond8Fish9_TotalOutcome,1010
Pond8Fish9_TimeLeft,87.88
Type,RT
FishN,13
Fish,10
Pond8Fish10_FishType,purple
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,0.838
Pond8Fish10_PondTime,72.136
Pond8Fish10_PondOutcome,100
Pond8Fish10_TotalOutcome,1020
Pond8Fish10_TimeLeft,78.855
Type,RT
FishN,13
Fish,11
Pond8Fish11_FishType,golden
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,1.135
Pond8Fish11_PondTime,81.996
Pond8Fish11_PondOutcome,120
Pond8Fish11_TotalOutcome,1040
Pond8Fish11_TimeLeft,68.995
Type,RT
FishN,13
Fish,12
Pond8Fish12_FishType,purple
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,1.179
Pond8Fish12_PondTime,92.926
Pond8Fish12_PondOutcome,130
Pond8Fish12_TotalOutcome,1050
Pond8Fish12_TimeLeft,58.065
Type,RT
FishN,13
Fish,13
Pond8Fish13_FishType,purple
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,1.349
Pond8Fish13_PondTime,105.287
Pond8Fish13_PondOutcome,140
Pond8Fish13_TotalOutcome,1060
Pond8Fish13_TimeLeft,45.704
Type,RT
FishN,13
Fish,14
Pond8Fish14_FishType,purple
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,0.961
Pond8Fish14_PondTime,119.649
Pond8Fish14_PondOutcome,150
Pond8Fish14_TotalOutcome,1070
Pond8Fish14_TimeLeft,31.342
Type,RT
FishN,13
Fish,15
Pond8Fish15_FishType,purple
Pond8Fish15_FishLatency,12
Pond8Fish15_CatchTime,0.93
Pond8Fish15_PondTime,137.018
Pond8Fish15_PondOutcome,160
Pond8Fish15_TotalOutcome,1080
Pond8Fish15_TimeLeft,13.973
