,5d96dc63334c5c00175db42c
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,5.454545454545454
Pond2Fish4_CatchTime,0.988
Pond2Fish4_PondTime,32.434
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,960
Pond2Fish4_TimeLeft,113.346
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,6
Pond2Fish5_CatchTime,0.743
Pond2Fish5_PondTime,41.467
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,970
Pond2Fish5_TimeLeft,104.313
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,6.666666666666667
Pond2Fish6_CatchTime,0.866
Pond2Fish6_PondTime,51.335
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,980
Pond2Fish6_TimeLeft,94.445
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,7.5
Pond2Fish7_CatchTime,1.031
Pond2Fish7_PondTime,62.266
Pond2Fish7_PondOutcome,70
Pond2Fish7_TotalOutcome,990
Pond2Fish7_TimeLeft,83.514
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,8.571428571428571
Pond2Fish8_CatchTime,0.927
Pond2Fish8_PondTime,74.634
Pond2Fish8_PondOutcome,80
Pond2Fish8_TotalOutcome,1000
Pond2Fish8_TimeLeft,71.146
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,10
Pond2Fish9_CatchTime,1.404
Pond2Fish9_PondTime,88.999
Pond2Fish9_PondOutcome,90
Pond2Fish9_TotalOutcome,1010
Pond2Fish9_TimeLeft,56.781
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,12
Pond2Fish10_CatchTime,1.067
Pond2Fish10_PondTime,106.366
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,1020
Pond2Fish10_TimeLeft,39.414
PondEnd_LastFish,10
FishN,14
Type,RT
GiveUpTime,1.348
PondTime,106.996
TimeLeft,38.281
PondOutcome,100
TotalOutcome,1020
PondStart,PondStart
PondIntroTime,11.208519567735493
Type,RT
FishN,18
Fish,1
Pond3Fish1_FishType,purple
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,0.939
Pond3Fish1_PondTime,9.717
Pond3Fish1_PondOutcome,10
Pond3Fish1_TotalOutcome,1030
Pond3Fish1_TimeLeft,16.731
Type,RT
FishN,18
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,1.563
Pond3Fish2_PondTime,18.084
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,1040
Pond3Fish2_TimeLeft,8.364
