,587905adc34844000174ee45
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,0.741
Pond7Fish7_PondTime,49.279
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,850
Pond7Fish7_TimeLeft,84.533
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,0.708
Pond7Fish8_PondTime,57.679
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,860
Pond7Fish8_TimeLeft,76.133
Type,RT
FishN,16
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,1.088
Pond7Fish9_PondTime,66.745
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,870
Pond7Fish9_TimeLeft,67.067
Type,RT
FishN,16
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,0.902
Pond7Fish10_PondTime,76.646
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,880
Pond7Fish10_TimeLeft,57.165
Type,RT
FishN,16
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,1.045
Pond7Fish11_PondTime,87.58
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,890
Pond7Fish11_TimeLeft,46.231
Type,RT
FishN,16
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,8.571428571428571
Pond7Fish12_CatchTime,0.92
Pond7Fish12_PondTime,99.979
Pond7Fish12_PondOutcome,120
Pond7Fish12_TotalOutcome,900
Pond7Fish12_TimeLeft,33.833
Type,RT
FishN,16
Fish,13
Pond7Fish13_FishType,purple
Pond7Fish13_FishLatency,10
Pond7Fish13_CatchTime,1.111
Pond7Fish13_PondTime,114.363
Pond7Fish13_PondOutcome,130
Pond7Fish13_TotalOutcome,910
Pond7Fish13_TimeLeft,19.448
