,5c7e51eaaaf8870001c8613a
Pond11Fish4_TimeLeft,93.084
Type,RT
FishN,15
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,4.615384615384615
Pond11Fish5_CatchTime,0.935
Pond11Fish5_PondTime,35.393
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,870
Pond11Fish5_TimeLeft,85.727
Type,RT
FishN,15
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5
Pond11Fish6_CatchTime,0.711
Pond11Fish6_PondTime,43.207
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,880
Pond11Fish6_TimeLeft,77.914
Type,RT
FishN,15
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,5.454545454545454
Pond11Fish7_CatchTime,0.89
Pond11Fish7_PondTime,51.573
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,890
Pond11Fish7_TimeLeft,69.548
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,0.83
Pond11Fish8_PondTime,60.608
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,900
Pond11Fish8_TimeLeft,60.512
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,0.833
Pond11Fish9_PondTime,70.472
Pond11Fish9_PondOutcome,90
Pond11Fish9_TotalOutcome,910
Pond11Fish9_TimeLeft,50.649
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,golden
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,0.81
Pond11Fish10_PondTime,81.42
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,930
Pond11Fish10_TimeLeft,39.701
PondEnd_LastFish,10
FishN,17
Type,RT
GiveUpTime,1.665
PondTime,82.101
TimeLeft,38.512
PondOutcome,110
TotalOutcome,930
PondStart,PondStart
PondIntroTime,11.185630953405052
Type,RT
FishN,17
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.3333333333333335
Pond6Fish1_CatchTime,0.817
Pond6Fish1_PondTime,7.797
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,940
Pond6Fish1_TimeLeft,18.901
Type,RT
FishN,17
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.5294117647058822
Pond6Fish2_CatchTime,0.994
Pond6Fish2_PondTime,13.903
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,950
Pond6Fish2_TimeLeft,12.795
Type,RT
FishN,17
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.75
Pond6Fish3_CatchTime,0.84
Pond6Fish3_PondTime,20.262
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,960
Pond6Fish3_TimeLeft,6.436
Type,RT
FishN,17
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,4
Pond6Fish4_CatchTime,0.856
Pond6Fish4_PondTime,26.908
Pond6Fish4_PondOutcome,40
Pond6Fish4_TotalOutcome,970
Pond6Fish4_TimeLeft,-0.21
Type,RT
FishN,17
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4.285714285714286
Pond6Fish5_CatchTime,0.88
Pond6Fish5_PondTime,33.89
Pond6Fish5_PondOutcome,50
Pond6Fish5_TotalOutcome,980
Pond6Fish5_TimeLeft,-7.192
Type,RT
FishN,17
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.615384615384615
Pond6Fish6_CatchTime,0.817
Pond6Fish6_PondTime,41.251
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,990
Pond6Fish6_TimeLeft,-14.554
Type,RT
FishN,17
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,5
Pond6Fish7_CatchTime,0.805
Pond6Fish7_PondTime,49.071
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,1000
Pond6Fish7_TimeLeft,-22.373
Type,RT
FishN,17
Fish,8
Pond6Fish8_FishType,golden
Pond6Fish8_FishLatency,5.454545454545454
Pond6Fish8_CatchTime,0.681
Pond6Fish8_PondTime,57.445
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,1020
Pond6Fish8_TimeLeft,-30.747
Type,RT
FishN,17
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,6
Pond6Fish9_CatchTime,0.947
Pond6Fish9_PondTime,66.469
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,1030
Pond6Fish9_TimeLeft,-39.771
Type,RT
FishN,17
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6.666666666666667
Pond6Fish10_CatchTime,0.898
Pond6Fish10_PondTime,76.332
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,1040
Pond6Fish10_TimeLeft,-49.634
Type,RT
FishN,17
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,7.5
Pond6Fish11_CatchTime,0.862
Pond6Fish11_PondTime,87.271
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,1050
Pond6Fish11_TimeLeft,-60.573
PondEnd_LastFish,11
FishN,18
Type,RT
GiveUpTime,1.006
PondTime,87.34
TimeLeft,-61.149
PondOutcome,120
TotalOutcome,1050
PondStart,PondStart
PondIntroTime,17.754042523447424
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,4.285714285714286
Pond7Fish1_CatchTime,0.745
Pond7Fish1_PondTime,8.891
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,1060
Pond7Fish1_TimeLeft,-88.435
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,4.615384615384615
Pond7Fish2_CatchTime,0.856
Pond7Fish2_PondTime,16.25
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,1070
Pond7Fish2_TimeLeft,-95.794
Type,RT
FishN,16
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,5
Pond7Fish3_CatchTime,0.818
Pond7Fish3_PondTime,24.062
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,1080
Pond7Fish3_TimeLeft,-103.607
Type,RT
FishN,16
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,5.454545454545454
Pond7Fish4_CatchTime,0.805
Pond7Fish4_PondTime,32.429
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,1090
Pond7Fish4_TimeLeft,-111.974
Type,RT
FishN,16
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,6
Pond7Fish5_CatchTime,0.864
Pond7Fish5_PondTime,41.471
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,1100
Pond7Fish5_TimeLeft,-121.016
Type,RT
FishN,16
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,6.666666666666667
Pond7Fish6_CatchTime,0.865
Pond7Fish6_PondTime,51.329
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,1110
Pond7Fish6_TimeLeft,-130.873
Type,RT
FishN,16
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,7.5
Pond7Fish7_CatchTime,0.823
Pond7Fish7_PondTime,62.262
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,1120
Pond7Fish7_TimeLeft,-141.806
Type,RT
FishN,16
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,8.571428571428571
Pond7Fish8_CatchTime,0.91
Pond7Fish8_PondTime,74.629
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,1130
Pond7Fish8_TimeLeft,-154.173
PondEnd_LastFish,8
FishN,14
Type,RT
GiveUpTime,1.065
PondTime,74.818
TimeLeft,-154.87
PondOutcome,80
TotalOutcome,1130
PondStart,PondStart
PondIntroTime,18.148111689370126
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,0.897
Pond1Fish1_PondTime,9.727
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,1140
Pond1Fish1_TimeLeft,-183.376
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,0.93
Pond1Fish2_PondTime,18.086
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,1150
Pond1Fish2_TimeLeft,-191.735
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,0.971
Pond1Fish3_PondTime,27.12
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,1160
Pond1Fish3_TimeLeft,-200.769
