,5b2739eb34ffd00001b4669b
Pond9Fish5_PondTime,41.482
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,850
Pond9Fish5_TimeLeft,187.202
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.066
Pond9Fish6_PondTime,51.353
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,860
Pond9Fish6_TimeLeft,177.331
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,golden
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,0.686
Pond9Fish7_PondTime,62.288
Pond9Fish7_PondOutcome,80
Pond9Fish7_TotalOutcome,880
Pond9Fish7_TimeLeft,166.396
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.068
Pond9Fish8_PondTime,74.658
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,890
Pond9Fish8_TimeLeft,154.026
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,0.887
Pond9Fish9_PondTime,89.015
Pond9Fish9_PondOutcome,100
Pond9Fish9_TotalOutcome,900
Pond9Fish9_TimeLeft,139.669
PondEnd_LastFish,9
FishN,14
Type,RT
GiveUpTime,0.612
PondTime,105.951
TimeLeft,122.229
PondOutcome,100
TotalOutcome,900
PondStart,PondStart
PondIntroTime,11.188252097927034
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.75
Pond5Fish1_PondTime,9.737
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,910
Pond5Fish1_TimeLeft,100.686
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,0.874
Pond5Fish2_PondTime,18.106
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,920
Pond5Fish2_TimeLeft,92.317
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,0.581
Pond5Fish3_PondTime,27.144
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,930
Pond5Fish3_TimeLeft,83.279
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,golden
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.699
Pond5Fish4_PondTime,37.014
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,950
Pond5Fish4_TimeLeft,73.409
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.382
Pond5Fish5_PondTime,47.952
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,960
Pond5Fish5_TimeLeft,62.471
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,1.562
Pond5Fish6_PondTime,60.322
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,970
Pond5Fish6_TimeLeft,50.1
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,golden
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,0.585
Pond5Fish7_PondTime,74.678
Pond5Fish7_PondOutcome,90
Pond5Fish7_TotalOutcome,990
Pond5Fish7_TimeLeft,35.745
PondEnd_LastFish,7
FishN,12
Type,RT
GiveUpTime,1.302
PondTime,74.778
TimeLeft,35.139
PondOutcome,90
TotalOutcome,990
PondStart,PondStart
PondIntroTime,18.43140158103779
Type,RT
FishN,16
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,0.691
Pond7Fish1_PondTime,7.605
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,1000
Pond7Fish1_TimeLeft,8.483
Type,RT
FishN,16
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,0.964
Pond7Fish2_PondTime,13.489
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,1010
Pond7Fish2_TimeLeft,2.599
