,5cc24a0dd56649001715d5cc
Pond8Fish2_PondOutcome,30
Pond8Fish2_TotalOutcome,900
Pond8Fish2_TimeLeft,220.515
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,6
Pond8Fish3_CatchTime,1.033
Pond8Fish3_PondTime,30.33
Pond8Fish3_PondOutcome,40
Pond8Fish3_TotalOutcome,910
Pond8Fish3_TimeLeft,211.371
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,6.666666666666667
Pond8Fish4_CatchTime,0.935
Pond8Fish4_PondTime,40.195
Pond8Fish4_PondOutcome,50
Pond8Fish4_TotalOutcome,920
Pond8Fish4_TimeLeft,201.506
Type,RT
FishN,13
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,7.5
Pond8Fish5_CatchTime,1.398
Pond8Fish5_PondTime,51.153
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,930
Pond8Fish5_TimeLeft,190.548
Type,RT
FishN,13
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,8.571428571428571
Pond8Fish6_CatchTime,1.004
Pond8Fish6_PondTime,63.539
Pond8Fish6_PondOutcome,70
Pond8Fish6_TotalOutcome,940
Pond8Fish6_TimeLeft,178.162
Type,RT
FishN,13
Fish,7
Pond8Fish7_FishType,purple
Pond8Fish7_FishLatency,10
Pond8Fish7_CatchTime,1.026
Pond8Fish7_PondTime,77.912
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,950
Pond8Fish7_TimeLeft,163.789
Type,RT
FishN,13
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,12
Pond8Fish8_CatchTime,1.279
Pond8Fish8_PondTime,95.283
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,960
Pond8Fish8_TimeLeft,146.418
Type,RT
FishN,13
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,15
Pond8Fish9_CatchTime,0.868
Pond8Fish9_PondTime,117.647
Pond8Fish9_PondOutcome,100
Pond8Fish9_TotalOutcome,970
Pond8Fish9_TimeLeft,124.054
PondEnd_LastFish,9
FishN,12
Type,RT
GiveUpTime,1.005
PondTime,117.734
TimeLeft,123.465
PondOutcome,100
TotalOutcome,970
PondStart,PondStart
PondIntroTime,14.22068607993424
Type,RT
FishN,18
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,1.002
Pond5Fish1_PondTime,8.912
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,980
Pond5Fish1_TimeLeft,99.719
Type,RT
FishN,18
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.181
Pond5Fish2_PondTime,16.299
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,990
Pond5Fish2_TimeLeft,92.332
Type,RT
FishN,18
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.185
Pond5Fish3_PondTime,24.134
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,1000
Pond5Fish3_TimeLeft,84.497
Type,RT
FishN,18
Fish,4
Pond5Fish4_FishType,golden
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,0.801
Pond5Fish4_PondTime,32.516
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,1020
Pond5Fish4_TimeLeft,76.115
Type,RT
FishN,18
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,0.801
Pond5Fish5_PondTime,41.556
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,1030
Pond5Fish5_TimeLeft,67.075
Type,RT
FishN,18
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,0.78
Pond5Fish6_PondTime,51.423
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,1040
Pond5Fish6_TimeLeft,57.208
Type,RT
FishN,18
Fish,7
Pond5Fish7_FishType,golden
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.769
Pond5Fish7_PondTime,62.366
Pond5Fish7_PondOutcome,90
Pond5Fish7_TotalOutcome,1060
Pond5Fish7_TimeLeft,46.265
Type,RT
FishN,18
Fish,8
Pond5Fish8_FishType,golden
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,0.634
Pond5Fish8_PondTime,74.746
Pond5Fish8_PondOutcome,110
Pond5Fish8_TotalOutcome,1080
Pond5Fish8_TimeLeft,33.885
Type,RT
FishN,18
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,0.869
Pond5Fish9_PondTime,89.115
Pond5Fish9_PondOutcome,120
Pond5Fish9_TotalOutcome,1090
Pond5Fish9_TimeLeft,19.516
