,5e1e789ad956371d569c8088
FishN,12
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,3.75
Pond9Fish3_CatchTime,1.129
Pond9Fish3_PondTime,20.262
Pond9Fish3_PondOutcome,30
Pond9Fish3_TotalOutcome,860
Pond9Fish3_TimeLeft,118.387
Type,RT
FishN,12
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,4
Pond9Fish4_CatchTime,0.974
Pond9Fish4_PondTime,26.906
Pond9Fish4_PondOutcome,40
Pond9Fish4_TotalOutcome,870
Pond9Fish4_TimeLeft,111.743
Type,RT
FishN,12
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,4.285714285714286
Pond9Fish5_CatchTime,0.945
Pond9Fish5_PondTime,33.88
Pond9Fish5_PondOutcome,50
Pond9Fish5_TotalOutcome,880
Pond9Fish5_TimeLeft,104.769
Type,RT
FishN,12
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,4.615384615384615
Pond9Fish6_CatchTime,0.796
Pond9Fish6_PondTime,41.238
Pond9Fish6_PondOutcome,60
Pond9Fish6_TotalOutcome,890
Pond9Fish6_TimeLeft,97.411
Type,RT
FishN,12
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,5
Pond9Fish7_CatchTime,1.06
Pond9Fish7_PondTime,49.058
Pond9Fish7_PondOutcome,70
Pond9Fish7_TotalOutcome,900
Pond9Fish7_TimeLeft,89.591
Type,RT
FishN,12
Fish,8
Pond9Fish8_FishType,golden
Pond9Fish8_FishLatency,5.454545454545454
Pond9Fish8_CatchTime,1.158
Pond9Fish8_PondTime,57.416
Pond9Fish8_PondOutcome,90
Pond9Fish8_TotalOutcome,920
Pond9Fish8_TimeLeft,81.233
Type,RT
FishN,12
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,6
Pond9Fish9_CatchTime,-1
Pond9Fish9_PondTime,66.733
Pond9Fish9_PondOutcome,90
Pond9Fish9_TotalOutcome,920
Pond9Fish9_TimeLeft,71.916
Type,RT
FishN,12
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,6.666666666666667
Pond9Fish10_CatchTime,0.936
Pond9Fish10_PondTime,76.591
Pond9Fish10_PondOutcome,100
Pond9Fish10_TotalOutcome,930
Pond9Fish10_TimeLeft,62.058
Type,RT
FishN,12
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,7.5
Pond9Fish11_CatchTime,0.522
Pond9Fish11_PondTime,87.527
Pond9Fish11_PondOutcome,110
Pond9Fish11_TotalOutcome,940
Pond9Fish11_TimeLeft,51.121
Type,RT
FishN,12
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,8.571428571428571
Pond9Fish12_CatchTime,0.839
Pond9Fish12_PondTime,99.895
Pond9Fish12_PondOutcome,120
Pond9Fish12_TotalOutcome,950
Pond9Fish12_TimeLeft,38.754
Type,RT
FishN,12
Fish,13
Pond9Fish13_FishType,purple
Pond9Fish13_FishLatency,10
Pond9Fish13_CatchTime,0.844
Pond9Fish13_PondTime,114.259
Pond9Fish13_PondOutcome,130
Pond9Fish13_TotalOutcome,960
Pond9Fish13_TimeLeft,24.389
PondEnd_LastFish,13
FishN,18
Type,RT
GiveUpTime,16.093
PondTime,129.402
TimeLeft,8.744
PondOutcome,130
TotalOutcome,960
PondStart,PondStart
PondIntroTime,15.032707992941141
