,59f17b480fb3a90001bd9ff8
Pond11Fish7_TimeLeft,87.529
Type,RT
FishN,15
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6
Pond11Fish8_CatchTime,1.178
Pond11Fish8_PondTime,60.946
Pond11Fish8_PondOutcome,80
Pond11Fish8_TotalOutcome,930
Pond11Fish8_TimeLeft,78.459
Type,RT
FishN,15
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,6.666666666666667
Pond11Fish9_CatchTime,1.282
Pond11Fish9_PondTime,70.867
Pond11Fish9_PondOutcome,90
Pond11Fish9_TotalOutcome,940
Pond11Fish9_TimeLeft,68.538
Type,RT
FishN,15
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,7.5
Pond11Fish10_CatchTime,1.2
Pond11Fish10_PondTime,81.827
Pond11Fish10_PondOutcome,100
Pond11Fish10_TotalOutcome,950
Pond11Fish10_TimeLeft,57.577
Type,RT
FishN,15
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,8.571428571428571
Pond11Fish11_CatchTime,1.782
Pond11Fish11_PondTime,94.3
Pond11Fish11_PondOutcome,110
Pond11Fish11_TotalOutcome,960
Pond11Fish11_TimeLeft,45.104
Type,RT
FishN,15
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,10
Pond11Fish12_CatchTime,1.205
Pond11Fish12_PondTime,108.697
Pond11Fish12_PondOutcome,120
Pond11Fish12_TotalOutcome,970
Pond11Fish12_TimeLeft,30.708
Type,RT
FishN,15
Fish,13
Pond11Fish13_FishType,purple
Pond11Fish13_FishLatency,12
Pond11Fish13_CatchTime,1.16
Pond11Fish13_PondTime,126.114
Pond11Fish13_PondOutcome,130
Pond11Fish13_TotalOutcome,980
Pond11Fish13_TimeLeft,13.291
PondEnd_LastFish,13
FishN,17
Type,RT
GiveUpTime,0.796
PondTime,126.248
TimeLeft,12.628
PondOutcome,130
TotalOutcome,980
PondStart,PondStart
PondIntroTime,17.15372694656253
