,5b829a201a1b2200016e86c4
Pond10Fish2_TimeLeft,103.257
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,0.862
Pond10Fish3_PondTime,27.135
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,900
Pond10Fish3_TimeLeft,94.224
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,0.755
Pond10Fish4_PondTime,37
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,910
Pond10Fish4_TimeLeft,84.359
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,0.605
Pond10Fish5_PondTime,47.933
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,920
Pond10Fish5_TimeLeft,73.426
Type,RT
FishN,16
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,8.571428571428571
Pond10Fish6_CatchTime,0.694
Pond10Fish6_PondTime,60.3
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,930
Pond10Fish6_TimeLeft,61.059
PondEnd_LastFish,6
FishN,12
Type,RT
GiveUpTime,0.438
PondTime,74.004
TimeLeft,46.852
PondOutcome,60
TotalOutcome,930
PondStart,PondStart
PondIntroTime,12.6806851150468
Type,RT
FishN,13
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.762
Pond8Fish1_PondTime,8.553
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,940
Pond8Fish1_TimeLeft,24.973
Type,RT
FishN,13
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.722
Pond8Fish2_PondTime,15.534
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,950
Pond8Fish2_TimeLeft,17.992
Type,RT
FishN,13
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,0.795
Pond8Fish3_PondTime,22.903
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,960
Pond8Fish3_TimeLeft,10.623
Type,RT
FishN,13
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,0.698
Pond8Fish4_PondTime,30.719
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,970
Pond8Fish4_TimeLeft,2.807
