,5aeb8d6b8db5b00001ad8d1a
PondIntroTime,12.746089457068592
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,1.408
Pond2Fish1_PondTime,8.016
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,850
Pond2Fish1_TimeLeft,334.371
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,0.79
Pond2Fish2_PondTime,14.382
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,860
Pond2Fish2_TimeLeft,328.005
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,0.842
Pond2Fish3_PondTime,21.024
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,870
Pond2Fish3_TimeLeft,321.363
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,1.189
Pond2Fish4_PondTime,28
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,880
Pond2Fish4_TimeLeft,314.387
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,1.273
Pond2Fish5_PondTime,35.356
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,890
Pond2Fish5_TimeLeft,307.031
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,golden
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,1.091
Pond2Fish6_PondTime,43.17
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,910
Pond2Fish6_TimeLeft,299.217
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,0.991
Pond2Fish7_PondTime,51.542
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,920
Pond2Fish7_TimeLeft,290.845
PondEnd_LastFish,7
FishN,17
Type,RT
GiveUpTime,0.522
PondTime,60.466
TimeLeft,281.417
PondOutcome,80
TotalOutcome,920
PondStart,PondStart
PondIntroTime,16.484332650434226
Type,RT
FishN,17
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,4.615384615384615
Pond4Fish1_CatchTime,0.879
Pond4Fish1_PondTime,9.278
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,930
Pond4Fish1_TimeLeft,255.045
Type,RT
FishN,17
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,5
Pond4Fish2_CatchTime,0.801
Pond4Fish2_PondTime,17.093
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,940
Pond4Fish2_TimeLeft,247.229
Type,RT
FishN,17
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,5.454545454545454
Pond4Fish3_CatchTime,0.923
Pond4Fish3_PondTime,25.456
Pond4Fish3_PondOutcome,30
Pond4Fish3_TotalOutcome,950
Pond4Fish3_TimeLeft,238.867
Type,RT
FishN,17
Fish,4
Pond4Fish4_FishType,purple
Pond4Fish4_FishLatency,6
Pond4Fish4_CatchTime,1.392
Pond4Fish4_PondTime,34.486
Pond4Fish4_PondOutcome,40
Pond4Fish4_TotalOutcome,960
Pond4Fish4_TimeLeft,229.837
Type,RT
FishN,17
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,6.666666666666667
Pond4Fish5_CatchTime,1.106
Pond4Fish5_PondTime,44.344
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,970
Pond4Fish5_TimeLeft,219.979
PondEnd_LastFish,5
FishN,13
Type,RT
GiveUpTime,0.661
PondTime,55.203
TimeLeft,208.614
PondOutcome,50
TotalOutcome,970
PondStart,PondStart
PondIntroTime,10.132595705799758
Type,RT
FishN,16
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,0.831
Pond12Fish1_PondTime,9.28
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,980
Pond12Fish1_TimeLeft,188.579
Type,RT
FishN,16
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,0.744
Pond12Fish2_PondTime,17.1
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,990
Pond12Fish2_TimeLeft,180.759
Type,RT
FishN,16
Fish,3
Pond12Fish3_FishType,golden
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,1.244
Pond12Fish3_PondTime,25.454
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,1010
Pond12Fish3_TimeLeft,172.405
Type,RT
FishN,16
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.233
Pond12Fish4_PondTime,34.493
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,1020
Pond12Fish4_TimeLeft,163.366
Type,RT
FishN,16
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.206
Pond12Fish5_PondTime,44.347
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,1030
Pond12Fish5_TimeLeft,153.511
PondEnd_LastFish,5
FishN,13
Type,RT
GiveUpTime,0.682
PondTime,55.208
TimeLeft,142.148
PondOutcome,60
TotalOutcome,1030
PondStart,PondStart
PondIntroTime,15.981770686339587
Type,RT
FishN,16
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,5
Pond10Fish1_CatchTime,0.831
Pond10Fish1_PondTime,9.729
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,1040
Pond10Fish1_TimeLeft,115.799
Type,RT
FishN,16
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5.454545454545454
Pond10Fish2_CatchTime,1.84
Pond10Fish2_PondTime,18.241
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,1050
Pond10Fish2_TimeLeft,107.287
Type,RT
FishN,16
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,6
Pond10Fish3_CatchTime,1.644
Pond10Fish3_PondTime,27.275
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,1060
Pond10Fish3_TimeLeft,98.253
Type,RT
FishN,16
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6.666666666666667
Pond10Fish4_CatchTime,1.043
Pond10Fish4_PondTime,37.135
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,1070
Pond10Fish4_TimeLeft,88.393
Type,RT
FishN,16
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,7.5
Pond10Fish5_CatchTime,1.073
Pond10Fish5_PondTime,48.084
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,1080
Pond10Fish5_TimeLeft,77.444
PondEnd_LastFish,5
FishN,12
Type,RT
GiveUpTime,1.04
PondTime,48.401
TimeLeft,76.624
PondOutcome,50
TotalOutcome,1080
PondStart,PondStart
PondIntroTime,16.57609293470159
Type,RT
FishN,13
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,5
Pond1Fish1_CatchTime,1.214
Pond1Fish1_PondTime,9.726
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,1090
Pond1Fish1_TimeLeft,49.702
Type,RT
FishN,13
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,5.454545454545454
Pond1Fish2_CatchTime,1.043
Pond1Fish2_PondTime,18.096
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,1100
Pond1Fish2_TimeLeft,41.332
Type,RT
FishN,13
Fish,3
Pond1Fish3_FishType,purple
Pond1Fish3_FishLatency,6
Pond1Fish3_CatchTime,1.203
Pond1Fish3_PondTime,27.123
Pond1Fish3_PondOutcome,30
Pond1Fish3_TotalOutcome,1110
Pond1Fish3_TimeLeft,32.305
Type,RT
FishN,13
Fish,4
Pond1Fish4_FishType,golden
Pond1Fish4_FishLatency,6.666666666666667
Pond1Fish4_CatchTime,0.881
Pond1Fish4_PondTime,36.982
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,1130
Pond1Fish4_TimeLeft,22.446
Type,RT
FishN,13
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,7.5
Pond1Fish5_CatchTime,1.267
Pond1Fish5_PondTime,47.924
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,1140
Pond1Fish5_TimeLeft,11.504
