,5d8d17dacb67210018b69dc3
Pond7Fish3_TotalOutcome,860
Pond7Fish3_TimeLeft,245.966
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.8
Pond7Fish4_PondTime,28.083
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,872
Pond7Fish4_TimeLeft,238.935
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,0.741
Pond7Fish5_PondTime,35.445
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,884
Pond7Fish5_TimeLeft,231.572
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.763
Pond7Fish6_PondTime,43.377
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,896
Pond7Fish6_TimeLeft,223.641
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.912
Pond7Fish7_PondTime,51.785
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,908
Pond7Fish7_TimeLeft,215.233
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.014
Pond7Fish8_PondTime,60.812
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,920
Pond7Fish8_TimeLeft,206.206
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.124
Pond7Fish9_PondTime,70.67
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,932
Pond7Fish9_TimeLeft,196.348
Type,RD
FishN,18
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.081
Pond7Fish10_PondTime,81.64
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,944
Pond7Fish10_TimeLeft,185.378
PondEnd_LastFish,10
FishN,17
Type,RD
GiveUpTime,0.786
PondTime,81.716
TimeLeft,184.796
PondOutcome,120
TotalOutcome,944
PondStart,PondStart
PondIntroTime,13.197319239843637
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,0.732
Pond5Fish1_PondTime,8.572
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,956
Pond5Fish1_TimeLeft,162.403
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,1.036
Pond5Fish2_PondTime,15.565
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,968
Pond5Fish2_TimeLeft,155.41
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,0.92
Pond5Fish3_PondTime,22.976
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,980
Pond5Fish3_TimeLeft,147.999
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,0.851
Pond5Fish4_PondTime,30.837
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,992
Pond5Fish4_TimeLeft,140.138
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,0.877
Pond5Fish5_PondTime,39.253
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,1004
Pond5Fish5_TimeLeft,131.722
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,0.817
Pond5Fish6_PondTime,48.281
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,1016
Pond5Fish6_TimeLeft,122.694
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,6.666666666666667
Pond5Fish7_CatchTime,0.964
Pond5Fish7_PondTime,58.139
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,1028
Pond5Fish7_TimeLeft,112.836
PondEnd_LastFish,7
FishN,15
Type,RD
GiveUpTime,0.494
PondTime,68.77
TimeLeft,101.702
PondOutcome,84
TotalOutcome,1028
PondStart,PondStart
PondIntroTime,14.009843289386481
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.3333333333333335
Pond8Fish1_CatchTime,1.571
Pond8Fish1_PondTime,7.825
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,1040
Pond8Fish1_TimeLeft,79.231
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,3.5294117647058822
Pond8Fish2_CatchTime,1.326
Pond8Fish2_PondTime,13.937
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,1052
Pond8Fish2_TimeLeft,73.119
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,3.75
Pond8Fish3_CatchTime,1.118
Pond8Fish3_PondTime,20.306
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,1064
Pond8Fish3_TimeLeft,66.749
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,4
Pond8Fish4_CatchTime,1.066
Pond8Fish4_PondTime,26.966
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,1076
Pond8Fish4_TimeLeft,60.09
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4.285714285714286
Pond8Fish5_CatchTime,1.129
Pond8Fish5_PondTime,33.96
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,1088
Pond8Fish5_TimeLeft,53.096
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,4.615384615384615
Pond8Fish6_CatchTime,0.743
Pond8Fish6_PondTime,41.339
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,1100
Pond8Fish6_TimeLeft,45.717
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,5
Pond8Fish7_CatchTime,1.268
Pond8Fish7_PondTime,49.148
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,1112
Pond8Fish7_TimeLeft,37.908
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,5.454545454545454
Pond8Fish8_CatchTime,0.753
Pond8Fish8_PondTime,57.511
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,1124
Pond8Fish8_TimeLeft,29.545
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,6
Pond8Fish9_CatchTime,0.931
Pond8Fish9_PondTime,66.589
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,1136
Pond8Fish9_TimeLeft,20.467
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,6.666666666666667
Pond8Fish10_CatchTime,1.015
Pond8Fish10_PondTime,76.507
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,1148
Pond8Fish10_TimeLeft,10.549
