,5b780f891c89e50001d6e8b1
Pond7Fish7_TotalOutcome,924
Pond7Fish7_TimeLeft,222.169
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,0.758
Pond7Fish8_PondTime,60.545
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,936
Pond7Fish8_TimeLeft,213.149
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.83
Pond7Fish9_PondTime,70.402
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,948
Pond7Fish9_TimeLeft,203.292
Type,RD
FishN,18
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,0.946
Pond7Fish10_PondTime,81.333
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,960
Pond7Fish10_TimeLeft,192.361
PondEnd_LastFish,10
FishN,17
Type,RD
GiveUpTime,0.574
PondTime,93.53
TimeLeft,179.662
PondOutcome,120
TotalOutcome,960
PondStart,PondStart
PondIntroTime,16.185349421575665
Type,RD
FishN,15
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,3.5294117647058822
Pond12Fish1_CatchTime,0.434
Pond12Fish1_PondTime,8.017
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,972
Pond12Fish1_TimeLeft,154.85
Type,RD
FishN,15
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,3.75
Pond12Fish2_CatchTime,0.92
Pond12Fish2_PondTime,14.38
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,984
Pond12Fish2_TimeLeft,148.487
Type,RD
FishN,15
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4
Pond12Fish3_CatchTime,0.761
Pond12Fish3_PondTime,21.021
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,996
Pond12Fish3_TimeLeft,141.846
Type,RD
FishN,15
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,4.285714285714286
Pond12Fish4_CatchTime,0.731
Pond12Fish4_PondTime,27.993
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,1008
Pond12Fish4_TimeLeft,134.874
Type,RD
FishN,15
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,4.615384615384615
Pond12Fish5_CatchTime,-1
Pond12Fish5_PondTime,35.404
Pond12Fish5_PondOutcome,48
Pond12Fish5_TotalOutcome,1008
Pond12Fish5_TimeLeft,127.463
Type,RD
FishN,15
Fish,6
Pond12Fish6_FishType,blue
Pond12Fish6_FishLatency,5
Pond12Fish6_CatchTime,0.851
Pond12Fish6_PondTime,43.217
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,1020
Pond12Fish6_TimeLeft,119.65
Type,RD
FishN,15
Fish,7
Pond12Fish7_FishType,blue
Pond12Fish7_FishLatency,5.454545454545454
Pond12Fish7_CatchTime,0.776
Pond12Fish7_PondTime,51.574
Pond12Fish7_PondOutcome,72
Pond12Fish7_TotalOutcome,1032
Pond12Fish7_TimeLeft,111.293
Type,RD
FishN,15
Fish,8
Pond12Fish8_FishType,blue
Pond12Fish8_FishLatency,6
Pond12Fish8_CatchTime,0.81
Pond12Fish8_PondTime,60.594
Pond12Fish8_PondOutcome,84
Pond12Fish8_TotalOutcome,1044
Pond12Fish8_TimeLeft,102.273
Type,RD
FishN,15
Fish,9
Pond12Fish9_FishType,blue
Pond12Fish9_FishLatency,6.666666666666667
Pond12Fish9_CatchTime,0.931
Pond12Fish9_PondTime,70.451
Pond12Fish9_PondOutcome,96
Pond12Fish9_TotalOutcome,1056
Pond12Fish9_TimeLeft,92.416
Type,RD
FishN,15
Fish,10
Pond12Fish10_FishType,blue
Pond12Fish10_FishLatency,7.5
Pond12Fish10_CatchTime,0.894
Pond12Fish10_PondTime,81.375
Pond12Fish10_PondOutcome,108
Pond12Fish10_TotalOutcome,1068
Pond12Fish10_TimeLeft,81.492
Type,RD
FishN,15
Fish,11
Pond12Fish11_FishType,blue
Pond12Fish11_FishLatency,8.571428571428571
Pond12Fish11_CatchTime,-1
Pond12Fish11_PondTime,93.786
Pond12Fish11_PondOutcome,108
Pond12Fish11_TotalOutcome,1068
Pond12Fish11_TimeLeft,69.081
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,14.627
PondTime,95.095
TimeLeft,67.269
PondOutcome,108
TotalOutcome,1068
PondStart,PondStart
PondIntroTime,19.46952530182898
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.116
Pond9Fish1_PondTime,8.887
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,1080
Pond9Fish1_TimeLeft,38.298
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,0.858
Pond9Fish2_PondTime,16.249
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,1092
Pond9Fish2_TimeLeft,30.936
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,0.973
Pond9Fish3_PondTime,24.062
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,1104
Pond9Fish3_TimeLeft,23.123
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,0.699
Pond9Fish4_PondTime,32.423
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,1116
Pond9Fish4_TimeLeft,14.762
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,0.629
Pond9Fish5_PondTime,41.446
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,1128
Pond9Fish5_TimeLeft,5.739
