,5dd5d22886c8865a3dfc92eb
Pond2Fish10_PondTime,87.871
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,924
Pond2Fish10_TimeLeft,258.321
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,3.696
PondTime,90.991
TimeLeft,254.696
PondOutcome,120
TotalOutcome,924
PondStart,PondStart
PondIntroTime,12.692889634054154
Type,RD
FishN,12
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4
Pond8Fish1_CatchTime,0.914
Pond8Fish1_PondTime,8.575
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,936
Pond8Fish1_TimeLeft,232.801
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.285714285714286
Pond8Fish2_CatchTime,0.804
Pond8Fish2_PondTime,15.556
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,948
Pond8Fish2_TimeLeft,225.82
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,4.615384615384615
Pond8Fish3_CatchTime,1.157
Pond8Fish3_PondTime,22.936
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,960
Pond8Fish3_TimeLeft,218.44
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5
Pond8Fish4_CatchTime,0.914
Pond8Fish4_PondTime,30.758
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,972
Pond8Fish4_TimeLeft,210.618
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,5.454545454545454
Pond8Fish5_CatchTime,0.769
Pond8Fish5_PondTime,39.129
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,984
Pond8Fish5_TimeLeft,202.247
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6
Pond8Fish6_CatchTime,1.153
Pond8Fish6_PondTime,48.18
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,996
Pond8Fish6_TimeLeft,193.196
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,6.666666666666667
Pond8Fish7_CatchTime,0.908
Pond8Fish7_PondTime,58.042
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,1008
Pond8Fish7_TimeLeft,183.334
Type,RD
FishN,12
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,7.5
Pond8Fish8_CatchTime,1.198
Pond8Fish8_PondTime,68.979
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,1020
Pond8Fish8_TimeLeft,172.397
Type,RD
FishN,12
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,8.571428571428571
Pond8Fish9_CatchTime,1.313
Pond8Fish9_PondTime,81.349
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,1032
Pond8Fish9_TimeLeft,160.027
Type,RD
FishN,12
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,10
Pond8Fish10_CatchTime,1.052
Pond8Fish10_PondTime,95.713
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,1044
Pond8Fish10_TimeLeft,145.663
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,12.806
PondTime,107.784
TimeLeft,133.09
PondOutcome,120
TotalOutcome,1044
PondStart,PondStart
PondIntroTime,12.434705863706768
Type,RD
FishN,16
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.75
Pond11Fish1_CatchTime,1.999
Pond11Fish1_PondTime,8.618
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,1056
Pond11Fish1_TimeLeft,111.424
Type,RD
FishN,16
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,1.03
Pond11Fish2_PondTime,15.41
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,1068
Pond11Fish2_TimeLeft,104.632
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,1.046
Pond11Fish3_PondTime,22.405
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,1080
Pond11Fish3_TimeLeft,97.636
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,1.256
Pond11Fish4_PondTime,29.794
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,1092
Pond11Fish4_TimeLeft,90.248
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,1.475
Pond11Fish5_PondTime,37.626
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,1104
Pond11Fish5_TimeLeft,82.416
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.894
Pond11Fish6_PondTime,46.012
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,1116
Pond11Fish6_TimeLeft,74.03
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,1.255
Pond11Fish7_PondTime,55.058
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,1128
Pond11Fish7_TimeLeft,64.984
PondEnd_LastFish,7
FishN,16
Type,RD
GiveUpTime,1.417
PondTime,55.94
TimeLeft,63.599
PondOutcome,84
TotalOutcome,1128
PondStart,PondStart
PondIntroTime,11.506926917936653
Type,RD
FishN,19
Fish,1
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,5
Pond6Fish1_CatchTime,1.039
Pond6Fish1_PondTime,9.744
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,1140
Pond6Fish1_TimeLeft,41.69
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,5.454545454545454
Pond6Fish2_CatchTime,1.136
Pond6Fish2_PondTime,18.126
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,1152
Pond6Fish2_TimeLeft,33.308
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,6
Pond6Fish3_CatchTime,1
Pond6Fish3_PondTime,27.16
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,1164
Pond6Fish3_TimeLeft,24.274
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,6.666666666666667
Pond6Fish4_CatchTime,0.942
Pond6Fish4_PondTime,37.045
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,1176
Pond6Fish4_TimeLeft,14.389
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,7.5
Pond6Fish5_CatchTime,1.154
Pond6Fish5_PondTime,47.999
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,1188
Pond6Fish5_TimeLeft,3.435
