,5dd28cf3fef7c229fd984072
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.615384615384615
Pond8Fish1_CatchTime,0.885
Pond8Fish1_PondTime,9.293
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,914
Pond8Fish1_TimeLeft,77.207
Type,RD
FishN,12
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,5
Pond8Fish2_CatchTime,-1
Pond8Fish2_PondTime,17.196
Pond8Fish2_PondOutcome,12
Pond8Fish2_TotalOutcome,914
Pond8Fish2_TimeLeft,69.304
Type,RD
FishN,12
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5.454545454545454
Pond8Fish3_CatchTime,0.731
Pond8Fish3_PondTime,25.605
Pond8Fish3_PondOutcome,24
Pond8Fish3_TotalOutcome,926
Pond8Fish3_TimeLeft,60.895
Type,RD
FishN,12
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,6
Pond8Fish4_CatchTime,0.802
Pond8Fish4_PondTime,34.645
Pond8Fish4_PondOutcome,36
Pond8Fish4_TotalOutcome,938
Pond8Fish4_TimeLeft,51.855
Type,RD
FishN,12
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6.666666666666667
Pond8Fish5_CatchTime,0.897
Pond8Fish5_PondTime,44.537
Pond8Fish5_PondOutcome,48
Pond8Fish5_TotalOutcome,950
Pond8Fish5_TimeLeft,41.963
Type,RD
FishN,12
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,7.5
Pond8Fish6_CatchTime,1.164
Pond8Fish6_PondTime,56.395
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,962
Pond8Fish6_TimeLeft,30.105
Type,RD
FishN,12
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,8.571428571428571
Pond8Fish7_CatchTime,0.719
Pond8Fish7_PondTime,71.399
Pond8Fish7_PondOutcome,72
Pond8Fish7_TotalOutcome,974
Pond8Fish7_TimeLeft,15.101
