,5c3f206637382200016ad5a8
Pond3Fish10_TimeLeft,139.065
Type,RD
FishN,15
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,1.267
Pond3Fish11_PondTime,82.328
Pond3Fish11_PondOutcome,122
Pond3Fish11_TotalOutcome,910
Pond3Fish11_TimeLeft,129.154
Type,RD
FishN,15
Fish,12
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.003
Pond3Fish12_PondTime,93.322
Pond3Fish12_PondOutcome,134
Pond3Fish12_TotalOutcome,922
Pond3Fish12_TimeLeft,118.16
Type,RD
FishN,15
Fish,13
Pond3Fish13_FishType,blue
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,1.345
Pond3Fish13_PondTime,105.734
Pond3Fish13_PondOutcome,146
Pond3Fish13_TotalOutcome,934
Pond3Fish13_TimeLeft,105.748
Type,RD
FishN,15
Fish,14
Pond3Fish14_FishType,blue
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,1.122
Pond3Fish14_PondTime,120.144
Pond3Fish14_PondOutcome,158
Pond3Fish14_TotalOutcome,946
Pond3Fish14_TimeLeft,91.338
PondEnd_LastFish,14
FishN,19
Type,RD
GiveUpTime,0.58
PondTime,137.236
TimeLeft,73.743
PondOutcome,158
TotalOutcome,946
PondStart,PondStart
PondIntroTime,13.759480423759669
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.748
Pond5Fish1_PondTime,9.283
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,958
Pond5Fish1_TimeLeft,50.051
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.082
Pond5Fish2_PondTime,17.138
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,970
Pond5Fish2_TimeLeft,42.195
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,1.813
Pond5Fish3_PondTime,25.658
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,982
Pond5Fish3_TimeLeft,33.676
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.906
Pond5Fish4_PondTime,34.71
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,994
Pond5Fish4_TimeLeft,24.624
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,gray
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.136
Pond5Fish5_PondTime,44.583
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,996
Pond5Fish5_TimeLeft,14.75
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,0.975
Pond5Fish6_PondTime,55.555
Pond5Fish6_PondOutcome,62
Pond5Fish6_TotalOutcome,1008
Pond5Fish6_TimeLeft,3.779
