,5998a6d5b5566b0001aa8472
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.899
Pond5Fish3_PondTime,25.486
Pond5Fish3_PondOutcome,16
Pond5Fish3_TotalOutcome,938
Pond5Fish3_TimeLeft,245.015
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.934
Pond5Fish4_PondTime,34.515
Pond5Fish4_PondOutcome,28
Pond5Fish4_TotalOutcome,950
Pond5Fish4_TimeLeft,235.986
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,0.845
Pond5Fish5_PondTime,44.371
Pond5Fish5_PondOutcome,40
Pond5Fish5_TotalOutcome,962
Pond5Fish5_TimeLeft,226.13
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,gray
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.098
Pond5Fish6_PondTime,55.296
Pond5Fish6_PondOutcome,42
Pond5Fish6_TotalOutcome,964
Pond5Fish6_TimeLeft,215.205
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,0.823
Pond5Fish7_PondTime,67.659
Pond5Fish7_PondOutcome,54
Pond5Fish7_TotalOutcome,976
Pond5Fish7_TimeLeft,202.842
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.146
Pond5Fish8_PondTime,82.022
Pond5Fish8_PondOutcome,66
Pond5Fish8_TotalOutcome,988
Pond5Fish8_TimeLeft,188.479
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,1.277
Pond5Fish9_PondTime,99.388
Pond5Fish9_PondOutcome,78
Pond5Fish9_TotalOutcome,1000
Pond5Fish9_TimeLeft,171.113
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,15
Pond5Fish10_CatchTime,1.178
Pond5Fish10_PondTime,121.742
Pond5Fish10_PondOutcome,90
Pond5Fish10_TotalOutcome,1012
Pond5Fish10_TimeLeft,148.759
PondEnd_LastFish,10
FishN,13
Type,RD
GiveUpTime,0.745
PondTime,121.865
TimeLeft,148.134
PondOutcome,90
TotalOutcome,1012
PondStart,PondStart
PondIntroTime,13.901074894238263
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,0.768
Pond4Fish1_PondTime,8.889
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,1024
Pond4Fish1_TimeLeft,124.726
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.02
Pond4Fish2_PondTime,16.251
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,1036
Pond4Fish2_TimeLeft,117.364
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,0.869
Pond4Fish3_PondTime,24.066
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,1048
Pond4Fish3_TimeLeft,109.549
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,0.987
Pond4Fish4_PondTime,32.429
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,1060
Pond4Fish4_TimeLeft,101.186
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,0.686
Pond4Fish5_PondTime,41.459
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,1072
Pond4Fish5_TimeLeft,92.156
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,0.837
Pond4Fish6_PondTime,51.315
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,1084
Pond4Fish6_TimeLeft,82.3
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,0.987
Pond4Fish7_PondTime,62.251
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,1096
Pond4Fish7_TimeLeft,71.363
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.016
Pond4Fish8_PondTime,74.615
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,1108
Pond4Fish8_TimeLeft,59
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,1.067
Pond4Fish9_PondTime,88.98
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,1120
Pond4Fish9_TimeLeft,44.635
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,0.973
PondTime,89.225
TimeLeft,43.889
PondOutcome,108
TotalOutcome,1120
PondStart,PondStart
PondIntroTime,12.818233536090702
Type,RD
FishN,17
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,0.997
Pond2Fish1_PondTime,9.277
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,1132
Pond2Fish1_TimeLeft,21.175
Type,RD
FishN,17
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,1.495
Pond2Fish2_PondTime,17.093
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,1144
Pond2Fish2_TimeLeft,13.359
Type,RD
FishN,17
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,0.956
Pond2Fish3_PondTime,25.456
Pond2Fish3_PondOutcome,36
Pond2Fish3_TotalOutcome,1156
Pond2Fish3_TimeLeft,4.996
