,5c615deeece81b0001be0a4b
Pond11Fish3_TotalOutcome,904
Pond11Fish3_TimeLeft,215.948
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.141
Pond11Fish4_PondTime,37.17
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,916
Pond11Fish4_TimeLeft,206.029
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.161
Pond11Fish5_PondTime,48.147
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,928
Pond11Fish5_TimeLeft,195.052
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.071
Pond11Fish6_PondTime,60.554
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,940
Pond11Fish6_TimeLeft,182.645
Type,RD
FishN,16
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,1.411
Pond11Fish7_PondTime,74.96
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,952
Pond11Fish7_TimeLeft,168.239
Type,RD
FishN,16
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,1.939
Pond11Fish8_PondTime,92.597
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,964
Pond11Fish8_TimeLeft,150.602
Type,RD
FishN,16
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,15
Pond11Fish9_CatchTime,1.119
Pond11Fish9_PondTime,115.001
Pond11Fish9_PondOutcome,108
Pond11Fish9_TotalOutcome,976
Pond11Fish9_TimeLeft,128.198
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,1.116
PondTime,115.444
TimeLeft,127.253
PondOutcome,108
TotalOutcome,976
PondStart,PondStart
PondIntroTime,14.042703008744866
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.337
Pond10Fish1_PondTime,7.84
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,988
Pond10Fish1_TimeLeft,104.676
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,1.167
Pond10Fish2_PondTime,13.977
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,1000
Pond10Fish2_TimeLeft,98.539
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,0.977
Pond10Fish3_PondTime,20.36
Pond10Fish3_PondOutcome,36
Pond10Fish3_TotalOutcome,1012
Pond10Fish3_TimeLeft,92.156
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,1.222
Pond10Fish4_PondTime,27.059
Pond10Fish4_PondOutcome,48
Pond10Fish4_TotalOutcome,1024
Pond10Fish4_TimeLeft,85.457
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,gray
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,1.083
Pond10Fish5_PondTime,34.067
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,1026
Pond10Fish5_TimeLeft,78.449
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,1.115
Pond10Fish6_PondTime,41.479
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,1038
Pond10Fish6_TimeLeft,71.037
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,1.043
Pond10Fish7_PondTime,49.344
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,1050
Pond10Fish7_TimeLeft,63.172
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,1.02
Pond10Fish8_PondTime,57.751
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,1062
Pond10Fish8_TimeLeft,54.765
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6
Pond10Fish9_CatchTime,1.218
Pond10Fish9_PondTime,66.83
Pond10Fish9_PondOutcome,98
Pond10Fish9_TotalOutcome,1074
Pond10Fish9_TimeLeft,45.686
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,6.666666666666667
Pond10Fish10_CatchTime,1.264
Pond10Fish10_PondTime,76.736
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,1086
Pond10Fish10_TimeLeft,35.78
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,7.5
Pond10Fish11_CatchTime,1.161
Pond10Fish11_PondTime,87.699
Pond10Fish11_PondOutcome,122
Pond10Fish11_TotalOutcome,1098
Pond10Fish11_TimeLeft,24.817
Type,RD
FishN,12
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,8.571428571428571
Pond10Fish12_CatchTime,1.31
Pond10Fish12_PondTime,100.107
Pond10Fish12_PondOutcome,134
Pond10Fish12_TotalOutcome,1110
Pond10Fish12_TimeLeft,12.409
