,5bbb89c80cb04c0001500a26
Pond2Fish14_CatchTime,1.093
Pond2Fish14_PondTime,120.198
Pond2Fish14_PondOutcome,158
Pond2Fish14_TotalOutcome,964
Pond2Fish14_TimeLeft,229.162
Type,RD
FishN,17
Fish,15
Pond2Fish15_FishType,blue
Pond2Fish15_FishLatency,12
Pond2Fish15_CatchTime,1.255
Pond2Fish15_PondTime,137.592
Pond2Fish15_PondOutcome,170
Pond2Fish15_TotalOutcome,976
Pond2Fish15_TimeLeft,211.768
Type,RD
FishN,17
Fish,16
Pond2Fish16_FishType,gray
Pond2Fish16_FishLatency,15
Pond2Fish16_CatchTime,1.379
Pond2Fish16_PondTime,159.96
Pond2Fish16_PondOutcome,172
Pond2Fish16_TotalOutcome,978
Pond2Fish16_TimeLeft,189.401
PondEnd_LastFish,16
FishN,19
Type,RD
GiveUpTime,1.793
PondTime,161.329
TimeLeft,187.516
PondOutcome,172
TotalOutcome,978
PondStart,PondStart
PondIntroTime,19.26637350814417
Type,RD
FishN,14
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,5
Pond5Fish1_CatchTime,0.94
Pond5Fish1_PondTime,9.768
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,990
Pond5Fish1_TimeLeft,157.793
Type,RD
FishN,14
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5.454545454545454
Pond5Fish2_CatchTime,1.114
Pond5Fish2_PondTime,18.146
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,1002
Pond5Fish2_TimeLeft,149.416
Type,RD
FishN,14
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,6
Pond5Fish3_CatchTime,1.033
Pond5Fish3_PondTime,27.191
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,1014
Pond5Fish3_TimeLeft,140.371
Type,RD
FishN,14
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6.666666666666667
Pond5Fish4_CatchTime,0.945
Pond5Fish4_PondTime,37.065
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,1026
Pond5Fish4_TimeLeft,130.497
Type,RD
FishN,14
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,7.5
Pond5Fish5_CatchTime,1.335
Pond5Fish5_PondTime,48.041
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,1038
Pond5Fish5_TimeLeft,119.521
Type,RD
FishN,14
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,8.571428571428571
Pond5Fish6_CatchTime,0.959
Pond5Fish6_PondTime,60.443
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,1050
Pond5Fish6_TimeLeft,107.119
Type,RD
FishN,14
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,10
Pond5Fish7_CatchTime,0.994
Pond5Fish7_PondTime,74.82
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,1062
Pond5Fish7_TimeLeft,92.742
Type,RD
FishN,14
Fish,8
Pond5Fish8_FishType,gray
Pond5Fish8_FishLatency,12
Pond5Fish8_CatchTime,1.298
Pond5Fish8_PondTime,92.203
Pond5Fish8_PondOutcome,86
Pond5Fish8_TotalOutcome,1064
Pond5Fish8_TimeLeft,75.359
Type,RD
FishN,14
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,15
Pond5Fish9_CatchTime,1.11
Pond5Fish9_PondTime,114.588
Pond5Fish9_PondOutcome,98
Pond5Fish9_TotalOutcome,1076
Pond5Fish9_TimeLeft,52.973
Type,RD
FishN,14
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,20
Pond5Fish10_CatchTime,0.949
Pond5Fish10_PondTime,146.964
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,1088
Pond5Fish10_TimeLeft,20.597
