,563cdacbef3f15000eb928c5
Pond8Fish13_TotalOutcome,860
Pond8Fish13_TimeLeft,170.494
PondEnd_LastFish,13
FishN,15
Type,RD
GiveUpTime,1.28
PondTime,168.279
TimeLeft,169.496
PondOutcome,126
TotalOutcome,860
PondStart,PondStart
PondIntroTime,11.768609352875501
Type,RD
FishN,12
Fish,1
Pond10Fish1_FishType,gray
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,1.05
Pond10Fish1_PondTime,7.811
Pond10Fish1_PondOutcome,2
Pond10Fish1_TotalOutcome,862
Pond10Fish1_TimeLeft,149.302
Type,RD
FishN,12
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,1.459
Pond10Fish2_PondTime,13.947
Pond10Fish2_PondOutcome,14
Pond10Fish2_TotalOutcome,874
Pond10Fish2_TimeLeft,143.166
Type,RD
FishN,12
Fish,3
Pond10Fish3_FishType,blue
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,0.843
Pond10Fish3_PondTime,20.314
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,886
Pond10Fish3_TimeLeft,136.799
Type,RD
FishN,12
Fish,4
Pond10Fish4_FishType,blue
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,0.833
Pond10Fish4_PondTime,26.963
Pond10Fish4_PondOutcome,38
Pond10Fish4_TotalOutcome,898
Pond10Fish4_TimeLeft,130.15
Type,RD
FishN,12
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,1.14
Pond10Fish5_PondTime,33.943
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,910
Pond10Fish5_TimeLeft,123.17
Type,RD
FishN,12
Fish,6
Pond10Fish6_FishType,blue
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,0.781
Pond10Fish6_PondTime,41.312
Pond10Fish6_PondOutcome,62
Pond10Fish6_TotalOutcome,922
Pond10Fish6_TimeLeft,115.801
Type,RD
FishN,12
Fish,7
Pond10Fish7_FishType,blue
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,1.007
Pond10Fish7_PondTime,49.126
Pond10Fish7_PondOutcome,74
Pond10Fish7_TotalOutcome,934
Pond10Fish7_TimeLeft,107.987
Type,RD
FishN,12
Fish,8
Pond10Fish8_FishType,blue
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,0.686
Pond10Fish8_PondTime,57.494
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,946
Pond10Fish8_TimeLeft,99.619
Type,RD
FishN,12
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,6
Pond10Fish9_CatchTime,0.952
Pond10Fish9_PondTime,66.525
Pond10Fish9_PondOutcome,98
Pond10Fish9_TotalOutcome,958
Pond10Fish9_TimeLeft,90.588
Type,RD
FishN,12
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,6.666666666666667
Pond10Fish10_CatchTime,0.808
Pond10Fish10_PondTime,76.396
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,970
Pond10Fish10_TimeLeft,80.716
Type,RD
FishN,12
Fish,11
Pond10Fish11_FishType,gray
Pond10Fish11_FishLatency,7.5
Pond10Fish11_CatchTime,0.838
Pond10Fish11_PondTime,87.335
Pond10Fish11_PondOutcome,112
Pond10Fish11_TotalOutcome,972
Pond10Fish11_TimeLeft,69.778
Type,RD
FishN,12
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,8.571428571428571
Pond10Fish12_CatchTime,0.981
Pond10Fish12_PondTime,99.694
Pond10Fish12_PondOutcome,124
Pond10Fish12_TotalOutcome,984
Pond10Fish12_TimeLeft,57.418
PondEnd_LastFish,12
FishN,18
Type,RD
GiveUpTime,0.929
PondTime,99.806
TimeLeft,56.805
PondOutcome,124
TotalOutcome,984
PondStart,PondStart
PondIntroTime,19.627012310083956
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,1.085
Pond9Fish1_PondTime,7.608
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,996
Pond9Fish1_TimeLeft,28.948
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.974
Pond9Fish2_PondTime,13.504
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,1008
Pond9Fish2_TimeLeft,23.052
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.971
Pond9Fish3_PondTime,19.617
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,1020
Pond9Fish3_TimeLeft,16.939
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.993
Pond9Fish4_PondTime,25.979
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,1032
Pond9Fish4_TimeLeft,10.577
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.987
Pond9Fish5_PondTime,32.628
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,1044
Pond9Fish5_TimeLeft,3.927
