,5ac48ded5cd1050001622c4a
Pond11Fish2_PondOutcome,14
Pond11Fish2_TotalOutcome,862
Pond11Fish2_TimeLeft,208.799
Type,RD
FishN,16
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.799
Pond11Fish3_PondTime,27.14
Pond11Fish3_PondOutcome,26
Pond11Fish3_TotalOutcome,874
Pond11Fish3_TimeLeft,199.764
Type,RD
FishN,16
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.771
Pond11Fish4_PondTime,37.009
Pond11Fish4_PondOutcome,38
Pond11Fish4_TotalOutcome,886
Pond11Fish4_TimeLeft,189.895
Type,RD
FishN,16
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,0.762
Pond11Fish5_PondTime,47.945
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,898
Pond11Fish5_TimeLeft,178.959
Type,RD
FishN,16
Fish,6
Pond11Fish6_FishType,gray
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,0.836
Pond11Fish6_PondTime,60.313
Pond11Fish6_PondOutcome,52
Pond11Fish6_TotalOutcome,900
Pond11Fish6_TimeLeft,166.591
PondEnd_LastFish,6
FishN,12
Type,RD
GiveUpTime,0.45
PondTime,74.133
TimeLeft,152.27
PondOutcome,52
TotalOutcome,900
PondStart,PondStart
PondIntroTime,17.855934002436697
Type,RD
FishN,17
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.75
Pond4Fish1_CatchTime,0.843
Pond4Fish1_PondTime,8.284
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,912
Pond4Fish1_TimeLeft,125.493
Type,RD
FishN,17
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,4
Pond4Fish2_CatchTime,1.195
Pond4Fish2_PondTime,14.933
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,924
Pond4Fish2_TimeLeft,118.844
Type,RD
FishN,17
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4.285714285714286
Pond4Fish3_CatchTime,0.691
Pond4Fish3_PondTime,21.913
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,936
Pond4Fish3_TimeLeft,111.864
Type,RD
FishN,17
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.615384615384615
Pond4Fish4_CatchTime,0.635
Pond4Fish4_PondTime,29.278
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,948
Pond4Fish4_TimeLeft,104.499
Type,RD
FishN,17
Fish,5
Pond4Fish5_FishType,gray
Pond4Fish5_FishLatency,5
Pond4Fish5_CatchTime,0.711
Pond4Fish5_PondTime,37.102
Pond4Fish5_PondOutcome,50
Pond4Fish5_TotalOutcome,950
Pond4Fish5_TimeLeft,96.675
Type,RD
FishN,17
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5.454545454545454
Pond4Fish6_CatchTime,0.719
Pond4Fish6_PondTime,45.47
Pond4Fish6_PondOutcome,62
Pond4Fish6_TotalOutcome,962
Pond4Fish6_TimeLeft,88.307
Type,RD
FishN,17
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,6
Pond4Fish7_CatchTime,0.754
Pond4Fish7_PondTime,54.503
Pond4Fish7_PondOutcome,74
Pond4Fish7_TotalOutcome,974
Pond4Fish7_TimeLeft,79.274
Type,RD
FishN,17
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6.666666666666667
Pond4Fish8_CatchTime,0.772
Pond4Fish8_PondTime,64.369
Pond4Fish8_PondOutcome,86
Pond4Fish8_TotalOutcome,986
Pond4Fish8_TimeLeft,69.408
Type,RD
FishN,17
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,7.5
Pond4Fish9_CatchTime,0.704
Pond4Fish9_PondTime,75.305
Pond4Fish9_PondOutcome,98
Pond4Fish9_TotalOutcome,998
Pond4Fish9_TimeLeft,58.472
Type,RD
FishN,17
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,8.571428571428571
Pond4Fish10_CatchTime,1.081
Pond4Fish10_PondTime,87.672
Pond4Fish10_PondOutcome,110
Pond4Fish10_TotalOutcome,1010
Pond4Fish10_TimeLeft,46.105
Type,RD
FishN,17
Fish,11
Pond4Fish11_FishType,gray
Pond4Fish11_FishLatency,10
Pond4Fish11_CatchTime,0.855
Pond4Fish11_PondTime,102.04
Pond4Fish11_PondOutcome,112
Pond4Fish11_TotalOutcome,1012
Pond4Fish11_TimeLeft,31.736
PondEnd_LastFish,11
FishN,16
Type,RD
GiveUpTime,0.608
PondTime,118.911
TimeLeft,14.364
PondOutcome,112
TotalOutcome,1012
PondStart,PondStart
PondIntroTime,12.575445652473718
