,5806d62a030efb00019213d8
Pond5Fish10_CatchTime,1.389
Pond5Fish10_PondTime,82.021
Pond5Fish10_PondOutcome,86
Pond5Fish10_TotalOutcome,932
Pond5Fish10_TimeLeft,251.914
Type,RD
FishN,14
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,1.315
Pond5Fish11_PondTime,94.414
Pond5Fish11_PondOutcome,98
Pond5Fish11_TotalOutcome,944
Pond5Fish11_TimeLeft,239.521
Type,RD
FishN,14
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,10
Pond5Fish12_CatchTime,1.248
Pond5Fish12_PondTime,108.857
Pond5Fish12_PondOutcome,110
Pond5Fish12_TotalOutcome,956
Pond5Fish12_TimeLeft,225.078
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,13.275
PondTime,121.587
TimeLeft,211.833
PondOutcome,110
TotalOutcome,956
PondStart,PondStart
PondIntroTime,18.542853344697505
Type,RD
FishN,18
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.143
Pond9Fish1_PondTime,8.91
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,968
Pond9Fish1_TimeLeft,183.761
Type,RD
FishN,18
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.436
Pond9Fish2_PondTime,16.335
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,980
Pond9Fish2_TimeLeft,176.337
Type,RD
FishN,18
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,1.717
Pond9Fish3_PondTime,24.218
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,992
Pond9Fish3_TimeLeft,168.454
Type,RD
FishN,18
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,1.294
Pond9Fish4_PondTime,32.627
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,1004
Pond9Fish4_TimeLeft,160.045
Type,RD
FishN,18
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,1.047
Pond9Fish5_PondTime,41.678
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,1016
Pond9Fish5_TimeLeft,150.994
Type,RD
FishN,18
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,1.289
Pond9Fish6_PondTime,51.581
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,1028
Pond9Fish6_TimeLeft,141.091
Type,RD
FishN,18
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,1.197
Pond9Fish7_PondTime,62.539
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,1040
Pond9Fish7_TimeLeft,130.133
Type,RD
FishN,18
Fish,8
Pond9Fish8_FishType,blue
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,1.22
Pond9Fish8_PondTime,74.978
Pond9Fish8_PondOutcome,96
Pond9Fish8_TotalOutcome,1052
Pond9Fish8_TimeLeft,117.694
Type,RD
FishN,18
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,1.372
Pond9Fish9_PondTime,89.383
Pond9Fish9_PondOutcome,108
Pond9Fish9_TotalOutcome,1064
Pond9Fish9_TimeLeft,103.289
PondEnd_LastFish,9
FishN,14
Type,RD
GiveUpTime,0.831
PondTime,89.76
TimeLeft,102.394
PondOutcome,108
TotalOutcome,1064
PondStart,PondStart
PondIntroTime,14.81305108172819
Type,RD
FishN,18
Fish,1
Pond7Fish1_FishType,gray
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,1.581
Pond7Fish1_PondTime,8.352
Pond7Fish1_PondOutcome,2
Pond7Fish1_TotalOutcome,1066
Pond7Fish1_TimeLeft,78.591
Type,RD
FishN,18
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,1.366
Pond7Fish2_PondTime,15.096
Pond7Fish2_PondOutcome,14
Pond7Fish2_TotalOutcome,1078
Pond7Fish2_TimeLeft,71.847
Type,RD
FishN,18
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,1.557
Pond7Fish3_PondTime,22.116
Pond7Fish3_PondOutcome,26
Pond7Fish3_TotalOutcome,1090
Pond7Fish3_TimeLeft,64.827
Type,RD
FishN,18
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,1.219
Pond7Fish4_PondTime,29.542
Pond7Fish4_PondOutcome,38
Pond7Fish4_TotalOutcome,1102
Pond7Fish4_TimeLeft,57.401
Type,RD
FishN,18
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,1.268
Pond7Fish5_PondTime,37.428
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,1114
Pond7Fish5_TimeLeft,49.515
Type,RD
FishN,18
Fish,6
Pond7Fish6_FishType,gray
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,1.549
Pond7Fish6_PondTime,45.82
Pond7Fish6_PondOutcome,52
Pond7Fish6_TotalOutcome,1116
Pond7Fish6_TimeLeft,41.123
Type,RD
FishN,18
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,1.215
Pond7Fish7_PondTime,54.877
Pond7Fish7_PondOutcome,64
Pond7Fish7_TotalOutcome,1128
Pond7Fish7_TimeLeft,32.066
Type,RD
FishN,18
Fish,8
Pond7Fish8_FishType,gray
Pond7Fish8_FishLatency,6.666666666666667
Pond7Fish8_CatchTime,1.09
Pond7Fish8_PondTime,64.811
Pond7Fish8_PondOutcome,66
Pond7Fish8_TotalOutcome,1130
Pond7Fish8_TimeLeft,22.132
Type,RD
FishN,18
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,7.5
Pond7Fish9_CatchTime,1.819
Pond7Fish9_PondTime,75.912
Pond7Fish9_PondOutcome,78
Pond7Fish9_TotalOutcome,1142
Pond7Fish9_TimeLeft,11.031
