,5a47fa82ee927b0001e1eaae
Pond2Fish5_PondTime,34.022
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,891
Pond2Fish5_TimeLeft,387.178
Type,N
FishN,13
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,4.615384615384615
Pond2Fish6_CatchTime,1.518
Pond2Fish6_PondTime,41.401
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,902
Pond2Fish6_TimeLeft,379.8
Type,N
FishN,13
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5
Pond2Fish7_CatchTime,1.292
Pond2Fish7_PondTime,49.26
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,913
Pond2Fish7_TimeLeft,371.941
Type,N
FishN,13
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,5.454545454545454
Pond2Fish8_CatchTime,1.433
Pond2Fish8_PondTime,57.666
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,924
Pond2Fish8_TimeLeft,363.535
Type,N
FishN,13
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6
Pond2Fish9_CatchTime,1.389
Pond2Fish9_PondTime,66.721
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,935
Pond2Fish9_TimeLeft,354.48
Type,N
FishN,13
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,6.666666666666667
Pond2Fish10_CatchTime,1.455
Pond2Fish10_PondTime,76.612
Pond2Fish10_PondOutcome,110
Pond2Fish10_TotalOutcome,946
Pond2Fish10_TimeLeft,344.589
Type,N
FishN,13
Fish,11
Pond2Fish11_FishType,green
Pond2Fish11_FishLatency,7.5
Pond2Fish11_CatchTime,1.229
Pond2Fish11_PondTime,87.561
Pond2Fish11_PondOutcome,121
Pond2Fish11_TotalOutcome,957
Pond2Fish11_TimeLeft,333.64
Type,N
FishN,13
Fish,12
Pond2Fish12_FishType,green
Pond2Fish12_FishLatency,8.571428571428571
Pond2Fish12_CatchTime,1.481
Pond2Fish12_PondTime,99.95
Pond2Fish12_PondOutcome,132
Pond2Fish12_TotalOutcome,968
Pond2Fish12_TimeLeft,321.251
PondEnd_LastFish,12
FishN,18
Type,N
GiveUpTime,1.138
PondTime,100.77
TimeLeft,319.927
PondOutcome,132
TotalOutcome,968
PondStart,PondStart
PondIntroTime,15.811685905791819
Type,N
FishN,19
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.472
Pond4Fish1_PondTime,8.905
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,979
Pond4Fish1_TimeLeft,294.591
Type,N
FishN,19
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,1.538
Pond4Fish2_PondTime,16.291
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,990
Pond4Fish2_TimeLeft,287.206
Type,N
FishN,19
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.173
Pond4Fish3_PondTime,24.125
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,1001
Pond4Fish3_TimeLeft,279.372
Type,N
FishN,19
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.268
Pond4Fish4_PondTime,32.525
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,1012
Pond4Fish4_TimeLeft,270.972
Type,N
FishN,19
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.529
Pond4Fish5_PondTime,41.602
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,1023
Pond4Fish5_TimeLeft,261.895
Type,N
FishN,19
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.205
Pond4Fish6_PondTime,51.487
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,1034
Pond4Fish6_TimeLeft,252.01
Type,N
FishN,19
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.079
Pond4Fish7_PondTime,62.441
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,1045
Pond4Fish7_TimeLeft,241.056
PondEnd_LastFish,7
FishN,14
Type,N
GiveUpTime,1.05
PondTime,62.78
TimeLeft,240.21
PondOutcome,77
TotalOutcome,1045
PondStart,PondStart
PondIntroTime,18.050619966816157
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.476
Pond5Fish1_PondTime,9.29
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,1056
Pond5Fish1_TimeLeft,212.251
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.624
Pond5Fish2_PondTime,17.126
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,1067
Pond5Fish2_TimeLeft,204.415
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.912
Pond5Fish3_PondTime,25.53
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,1078
Pond5Fish3_TimeLeft,196.011
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,1.692
Pond5Fish4_PondTime,34.612
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,1089
Pond5Fish4_TimeLeft,186.929
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,1.447
Pond5Fish5_PondTime,44.51
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,1100
Pond5Fish5_TimeLeft,177.03
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,1.24
Pond5Fish6_PondTime,55.473
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,1111
Pond5Fish6_TimeLeft,166.068
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,8.571428571428571
Pond5Fish7_CatchTime,1.416
Pond5Fish7_PondTime,67.894
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,1122
Pond5Fish7_TimeLeft,153.647
Type,N
FishN,18
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,10
Pond5Fish8_CatchTime,1.304
Pond5Fish8_PondTime,82.286
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,1133
Pond5Fish8_TimeLeft,139.255
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,1.249
PondTime,83.05
TimeLeft,137.987
PondOutcome,88
TotalOutcome,1133
PondStart,PondStart
PondIntroTime,14.848110449966043
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.163
Pond12Fish1_PondTime,9.308
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,1144
Pond12Fish1_TimeLeft,113.204
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,1.881
Pond12Fish2_PondTime,17.331
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,1155
Pond12Fish2_TimeLeft,105.181
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,1.448
Pond12Fish3_PondTime,25.716
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,1166
Pond12Fish3_TimeLeft,96.796
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,1.535
Pond12Fish4_PondTime,34.791
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,1177
Pond12Fish4_TimeLeft,87.721
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.474
Pond12Fish5_PondTime,44.674
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,1188
Pond12Fish5_TimeLeft,77.838
PondEnd_LastFish,5
FishN,13
Type,N
GiveUpTime,1.149
PondTime,45.511
TimeLeft,76.497
PondOutcome,55
TotalOutcome,1188
PondStart,PondStart
PondIntroTime,12.964718374423683
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,1.447
Pond8Fish1_PondTime,7.642
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,1199
Pond8Fish1_TimeLeft,55.257
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,-1
Pond8Fish2_PondTime,13.631
Pond8Fish2_PondOutcome,11
Pond8Fish2_TotalOutcome,1199
Pond8Fish2_TimeLeft,49.268
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.526
Pond8Fish3_PondTime,19.779
Pond8Fish3_PondOutcome,22
Pond8Fish3_TotalOutcome,1210
Pond8Fish3_TimeLeft,43.12
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,1.167
Pond8Fish4_PondTime,26.185
Pond8Fish4_PondOutcome,33
Pond8Fish4_TotalOutcome,1221
Pond8Fish4_TimeLeft,36.714
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.378
Pond8Fish5_PondTime,32.865
Pond8Fish5_PondOutcome,44
Pond8Fish5_TotalOutcome,1232
Pond8Fish5_TimeLeft,30.034
Type,N
FishN,15
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.119
Pond8Fish6_PondTime,39.854
Pond8Fish6_PondOutcome,55
Pond8Fish6_TotalOutcome,1243
Pond8Fish6_TimeLeft,23.044
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,1.105
Pond8Fish7_PondTime,47.25
Pond8Fish7_PondOutcome,66
Pond8Fish7_TotalOutcome,1254
Pond8Fish7_TimeLeft,15.649
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,1.508
Pond8Fish8_PondTime,55.098
Pond8Fish8_PondOutcome,77
Pond8Fish8_TotalOutcome,1265
Pond8Fish8_TimeLeft,7.801
