,5e2093a7e10aa2000c631268
Pond5Fish8_TimeLeft,177.151
Type,N
FishN,18
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,12
Pond5Fish9_CatchTime,1.085
Pond5Fish9_PondTime,99.466
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,935
Pond5Fish9_TimeLeft,159.778
PondEnd_LastFish,9
FishN,13
Type,N
GiveUpTime,0.682
PondTime,121.675
TimeLeft,137.067
PondOutcome,99
TotalOutcome,935
PondStart,PondStart
PondIntroTime,14.777330642100424
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.615384615384615
Pond12Fish1_CatchTime,1.145
Pond12Fish1_PondTime,9.285
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,946
Pond12Fish1_TimeLeft,112.358
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,5
Pond12Fish2_CatchTime,0.79
Pond12Fish2_PondTime,17.116
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,957
Pond12Fish2_TimeLeft,104.527
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5.454545454545454
Pond12Fish3_CatchTime,0.927
Pond12Fish3_PondTime,25.496
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,968
Pond12Fish3_TimeLeft,96.147
Type,N
FishN,17
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,6
Pond12Fish4_CatchTime,0.959
Pond12Fish4_PondTime,34.541
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,979
Pond12Fish4_TimeLeft,87.102
Type,N
FishN,17
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,6.666666666666667
Pond12Fish5_CatchTime,1.05
Pond12Fish5_PondTime,44.416
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,990
Pond12Fish5_TimeLeft,77.227
Type,N
FishN,17
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,7.5
Pond12Fish6_CatchTime,0.927
Pond12Fish6_PondTime,55.362
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,1001
Pond12Fish6_TimeLeft,66.281
Type,N
FishN,17
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,8.571428571428571
Pond12Fish7_CatchTime,0.988
Pond12Fish7_PondTime,67.739
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,1012
Pond12Fish7_TimeLeft,53.904
Type,N
FishN,17
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,10
Pond12Fish8_CatchTime,1.187
Pond12Fish8_PondTime,82.113
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,1023
Pond12Fish8_TimeLeft,39.53
Type,N
FishN,17
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,12
Pond12Fish9_CatchTime,0.904
Pond12Fish9_PondTime,99.483
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,1034
Pond12Fish9_TimeLeft,22.16
