,5d8cebbaaba6a200176dd74d
PondEnd_LastFish,7
FishN,18
Type,N
GiveUpTime,0.409
PondTime,56.798
TimeLeft,114.977
PondOutcome,77
TotalOutcome,924
PondStart,PondStart
PondIntroTime,10.104713323526084
Type,N
FishN,15
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,0.805
Pond8Fish1_PondTime,7.605
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,935
Pond8Fish1_TimeLeft,96.645
Type,N
FishN,15
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,0.87
Pond8Fish2_PondTime,13.508
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,946
Pond8Fish2_TimeLeft,90.742
Type,N
FishN,15
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,0.769
Pond8Fish3_PondTime,19.624
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,957
Pond8Fish3_TimeLeft,84.626
Type,N
FishN,15
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.693
Pond8Fish4_PondTime,25.994
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,968
Pond8Fish4_TimeLeft,78.256
Type,N
FishN,15
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,0.57
Pond8Fish5_PondTime,32.646
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,979
Pond8Fish5_TimeLeft,71.604
PondEnd_LastFish,5
FishN,19
Type,N
GiveUpTime,0.484
PondTime,39.033
TimeLeft,64.713
PondOutcome,55
TotalOutcome,979
PondStart,PondStart
PondIntroTime,16.91073038149625
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,0.934
Pond10Fish1_PondTime,9.274
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,990
Pond10Fish1_TimeLeft,37.886
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,0.759
Pond10Fish2_PondTime,17.095
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,1001
Pond10Fish2_TimeLeft,30.065
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,0.565
Pond10Fish3_PondTime,25.455
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,1012
Pond10Fish3_TimeLeft,21.705
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,0.754
Pond10Fish4_PondTime,34.484
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,1023
Pond10Fish4_TimeLeft,12.676
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.789
Pond10Fish5_PondTime,44.353
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,1034
Pond10Fish5_TimeLeft,2.807
