,5dd637657b6a665c77c20512
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,1.244
Pond8Fish6_PondTime,46.646
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,913
Pond8Fish6_TimeLeft,199.436
Type,N
FishN,15
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,1.407
Pond8Fish7_PondTime,55.681
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,924
Pond8Fish7_TimeLeft,190.401
Type,N
FishN,15
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,1.629
Pond8Fish8_PondTime,65.548
Pond8Fish8_PondOutcome,88
Pond8Fish8_TotalOutcome,935
Pond8Fish8_TimeLeft,180.533
Type,N
FishN,15
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,1.036
Pond8Fish9_PondTime,76.483
Pond8Fish9_PondOutcome,99
Pond8Fish9_TotalOutcome,946
Pond8Fish9_TimeLeft,169.598
Type,N
FishN,15
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,0.945
Pond8Fish10_PondTime,88.853
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,957
Pond8Fish10_TimeLeft,157.229
Type,N
FishN,15
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,1.195
Pond8Fish11_PondTime,103.22
Pond8Fish11_PondOutcome,121
Pond8Fish11_TotalOutcome,968
Pond8Fish11_TimeLeft,142.862
PondEnd_LastFish,11
FishN,16
Type,N
GiveUpTime,0.538
PondTime,119.989
TimeLeft,125.589
PondOutcome,121
TotalOutcome,968
PondStart,PondStart
PondIntroTime,18.968350917566568
Type,N
FishN,16
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.872
Pond11Fish1_PondTime,10.886
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,979
Pond11Fish1_TimeLeft,94.172
Type,N
FishN,16
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.987
Pond11Fish2_PondTime,18.252
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,990
Pond11Fish2_TimeLeft,86.805
Type,N
FishN,16
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,1.449
Pond11Fish3_PondTime,26.069
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,1001
Pond11Fish3_TimeLeft,78.989
Type,N
FishN,16
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.9
Pond11Fish4_PondTime,34.437
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,1012
Pond11Fish4_TimeLeft,70.621
Type,N
FishN,16
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.929
Pond11Fish5_PondTime,43.47
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,1023
Pond11Fish5_TimeLeft,61.588
Type,N
FishN,16
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,0.999
Pond11Fish6_PondTime,53.337
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,1034
Pond11Fish6_TimeLeft,51.721
Type,N
FishN,16
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,1.102
Pond11Fish7_PondTime,64.272
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,1045
Pond11Fish7_TimeLeft,40.786
Type,N
FishN,16
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,0.985
Pond11Fish8_PondTime,76.64
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,1056
Pond11Fish8_TimeLeft,28.418
PondEnd_LastFish,8
FishN,14
Type,N
GiveUpTime,0.761
PondTime,90.883
TimeLeft,13.672
PondOutcome,88
TotalOutcome,1056
PondStart,PondStart
PondIntroTime,17.256138091906905
