,5d7fceecf52428001cc38b63
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,0.82
Pond3Fish9_PondTime,70.475
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,902
Pond3Fish9_TimeLeft,245.711
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,0.861
Pond3Fish10_PondTime,81.409
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,913
Pond3Fish10_TimeLeft,234.777
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,0.925
Pond3Fish11_PondTime,93.78
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,924
Pond3Fish11_TimeLeft,222.406
PondEnd_LastFish,11
FishN,17
Type,N
GiveUpTime,0.376
PondTime,107.985
TimeLeft,207.699
PondOutcome,121
TotalOutcome,924
PondStart,PondStart
PondIntroTime,14.764086063951254
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.913
Pond3Fish1_PondTime,8.883
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,935
Pond3Fish1_TimeLeft,183.44
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.928
Pond3Fish2_PondTime,16.252
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,946
Pond3Fish2_TimeLeft,176.071
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.737
Pond3Fish3_PondTime,24.069
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,957
Pond3Fish3_TimeLeft,168.254
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.134
Pond3Fish4_PondTime,32.435
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,968
Pond3Fish4_TimeLeft,159.888
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.924
Pond3Fish5_PondTime,41.471
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,979
Pond3Fish5_TimeLeft,150.852
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.686
Pond3Fish6_PondTime,51.337
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,990
Pond3Fish6_TimeLeft,140.986
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.773
Pond3Fish7_PondTime,62.271
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,1001
Pond3Fish7_TimeLeft,130.052
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,0.765
Pond3Fish8_PondTime,74.639
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,1012
Pond3Fish8_TimeLeft,117.683
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,10
Pond3Fish9_CatchTime,1.203
Pond3Fish9_PondTime,89.008
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,1023
Pond3Fish9_TimeLeft,103.315
PondEnd_LastFish,9
FishN,14
Type,N
GiveUpTime,0.372
PondTime,105.68
TimeLeft,86.14
PondOutcome,99
TotalOutcome,1023
PondStart,PondStart
PondIntroTime,10.209706616587937
Type,N
FishN,18
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4
Pond5Fish1_CatchTime,0.929
Pond5Fish1_PondTime,8.552
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,1034
Pond5Fish1_TimeLeft,62.628
Type,N
FishN,18
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.285714285714286
Pond5Fish2_CatchTime,1.261
Pond5Fish2_PondTime,15.537
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,1045
Pond5Fish2_TimeLeft,55.643
Type,N
FishN,18
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,4.615384615384615
Pond5Fish3_CatchTime,1.108
Pond5Fish3_PondTime,22.977
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,1056
Pond5Fish3_TimeLeft,48.203
Type,N
FishN,18
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5
Pond5Fish4_CatchTime,0.911
Pond5Fish4_PondTime,30.789
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,1067
Pond5Fish4_TimeLeft,40.391
Type,N
FishN,18
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,5.454545454545454
Pond5Fish5_CatchTime,0.931
Pond5Fish5_PondTime,39.157
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,1078
Pond5Fish5_TimeLeft,32.023
Type,N
FishN,18
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6
Pond5Fish6_CatchTime,0.863
Pond5Fish6_PondTime,48.189
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,1089
Pond5Fish6_TimeLeft,22.991
PondEnd_LastFish,6
FishN,15
Type,N
GiveUpTime,0.487
PondTime,57.726
TimeLeft,12.951
PondOutcome,66
TotalOutcome,1089
PondStart,PondStart
PondIntroTime,16.62467919057235
