,5ac399bce734400001da2257
Type,N
GiveUpTime,2.106
PondTime,169.267
TimeLeft,150.677
PondOutcome,143
TotalOutcome,891
PondStart,PondStart
PondIntroTime,13.95086070522666
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.049
Pond3Fish1_PondTime,8.045
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,902
Pond3Fish1_TimeLeft,128.038
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.463
Pond3Fish2_PondTime,14.403
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,913
Pond3Fish2_TimeLeft,121.68
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,1.235
Pond3Fish3_PondTime,21.057
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,924
Pond3Fish3_TimeLeft,115.026
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,1.364
Pond3Fish4_PondTime,28.034
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,935
Pond3Fish4_TimeLeft,108.049
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,1.265
Pond3Fish5_PondTime,35.394
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,946
Pond3Fish5_TimeLeft,100.688
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,1.314
Pond3Fish6_PondTime,43.22
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,957
Pond3Fish6_TimeLeft,92.863
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,1.119
Pond3Fish7_PondTime,51.578
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,968
Pond3Fish7_TimeLeft,84.505
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,0.845
Pond3Fish8_PondTime,60.607
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,979
Pond3Fish8_TimeLeft,75.476
Type,N
FishN,18
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,6.666666666666667
Pond3Fish9_CatchTime,0.912
Pond3Fish9_PondTime,70.465
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,990
Pond3Fish9_TimeLeft,65.618
Type,N
FishN,18
Fish,10
Pond3Fish10_FishType,green
Pond3Fish10_FishLatency,7.5
Pond3Fish10_CatchTime,1.351
Pond3Fish10_PondTime,81.395
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,1001
Pond3Fish10_TimeLeft,54.688
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,8.571428571428571
Pond3Fish11_CatchTime,1.288
Pond3Fish11_PondTime,93.761
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,1012
Pond3Fish11_TimeLeft,42.322
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,10
Pond3Fish12_CatchTime,1.294
Pond3Fish12_PondTime,108.131
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,1023
Pond3Fish12_TimeLeft,27.952
PondEnd_LastFish,12
FishN,17
Type,N
GiveUpTime,1.067
PondTime,108.696
TimeLeft,26.884
PondOutcome,132
TotalOutcome,1023
PondStart,PondStart
PondIntroTime,19.492515267338604
