,5ba32826061141000107e6b6
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.153
Pond5Fish7_PondTime,62.325
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,858
Pond5Fish7_TimeLeft,292.062
PondEnd_LastFish,7
FishN,14
Type,N
GiveUpTime,0.723
PondTime,62.41
TimeLeft,291.473
PondOutcome,77
TotalOutcome,858
PondStart,PondStart
PondIntroTime,18.79711324116215
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,4.615384615384615
Pond7Fish1_CatchTime,1.918
Pond7Fish1_PondTime,9.517
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,869
Pond7Fish1_TimeLeft,262.526
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,5
Pond7Fish2_CatchTime,-1
Pond7Fish2_PondTime,17.418
Pond7Fish2_PondOutcome,11
Pond7Fish2_TotalOutcome,869
Pond7Fish2_TimeLeft,254.623
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,0.812
Pond7Fish3_PondTime,25.808
Pond7Fish3_PondOutcome,22
Pond7Fish3_TotalOutcome,880
Pond7Fish3_TimeLeft,246.235
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,1.122
Pond7Fish4_PondTime,34.836
Pond7Fish4_PondOutcome,33
Pond7Fish4_TotalOutcome,891
Pond7Fish4_TimeLeft,237.207
PondEnd_LastFish,4
FishN,13
Type,N
GiveUpTime,0.754
PondTime,34.921
TimeLeft,236.62
PondOutcome,33
TotalOutcome,891
PondStart,PondStart
PondIntroTime,14.698679288849235
Type,N
FishN,17
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,0.789
Pond10Fish1_PondTime,9.293
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,902
Pond10Fish1_TimeLeft,212.014
Type,N
FishN,17
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,1.247
Pond10Fish2_PondTime,17.119
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,913
Pond10Fish2_TimeLeft,204.188
Type,N
FishN,17
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,1.022
Pond10Fish3_PondTime,25.49
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,924
Pond10Fish3_TimeLeft,195.817
Type,N
FishN,17
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,0.871
Pond10Fish4_PondTime,34.542
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,935
Pond10Fish4_TimeLeft,186.765
Type,N
FishN,17
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,1.156
Pond10Fish5_PondTime,44.407
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,946
Pond10Fish5_TimeLeft,176.9
Type,N
FishN,17
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,1.145
Pond10Fish6_PondTime,55.358
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,957
Pond10Fish6_TimeLeft,165.949
Type,N
FishN,17
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,8.571428571428571
Pond10Fish7_CatchTime,0.979
Pond10Fish7_PondTime,67.724
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,968
Pond10Fish7_TimeLeft,153.582
Type,N
FishN,17
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,10
Pond10Fish8_CatchTime,0.973
Pond10Fish8_PondTime,82.09
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,979
Pond10Fish8_TimeLeft,139.217
PondEnd_LastFish,8
FishN,13
Type,N
GiveUpTime,15.405
PondTime,96.68
TimeLeft,124.124
PondOutcome,88
TotalOutcome,979
PondStart,PondStart
PondIntroTime,10.982001803349704
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,0.99
Pond3Fish1_PondTime,11.473
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,990
Pond3Fish1_TimeLeft,99.82
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,0.871
Pond3Fish2_PondTime,18.134
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,1001
Pond3Fish2_TimeLeft,93.159
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.087
Pond3Fish3_PondTime,25.117
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,1012
Pond3Fish3_TimeLeft,86.176
PondEnd_LastFish,3
FishN,16
Type,N
GiveUpTime,1.192
PondTime,25.606
TimeLeft,85.185
PondOutcome,33
TotalOutcome,1012
PondStart,PondStart
PondIntroTime,15.568529807496816
Type,N
FishN,18
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,1.096
Pond6Fish1_PondTime,9.295
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,1023
Pond6Fish1_TimeLeft,59.697
Type,N
FishN,18
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,1.371
Pond6Fish2_PondTime,17.121
Pond6Fish2_PondOutcome,22
Pond6Fish2_TotalOutcome,1034
Pond6Fish2_TimeLeft,51.872
Type,N
FishN,18
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,1.291
Pond6Fish3_PondTime,25.492
Pond6Fish3_PondOutcome,33
Pond6Fish3_TotalOutcome,1045
Pond6Fish3_TimeLeft,43.501
Type,N
FishN,18
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,1.104
Pond6Fish4_PondTime,34.54
Pond6Fish4_PondOutcome,44
Pond6Fish4_TotalOutcome,1056
Pond6Fish4_TimeLeft,34.453
PondEnd_LastFish,4
FishN,13
Type,N
GiveUpTime,0.745
PondTime,34.597
TimeLeft,33.892
PondOutcome,44
TotalOutcome,1056
PondStart,PondStart
PondIntroTime,10.267706206068397
Type,N
FishN,17
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.3333333333333335
Pond12Fish1_CatchTime,0.974
Pond12Fish1_PondTime,7.825
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,1067
Pond12Fish1_TimeLeft,14.879
Type,N
FishN,17
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.5294117647058822
Pond12Fish2_CatchTime,1.063
Pond12Fish2_PondTime,13.953
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,1078
Pond12Fish2_TimeLeft,8.751
Type,N
FishN,17
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.75
Pond12Fish3_CatchTime,1.011
Pond12Fish3_PondTime,20.341
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,1089
Pond12Fish3_TimeLeft,2.363
