,5d920a36cfd466001758b44d
Pond5Fish6_TotalOutcome,880
Pond5Fish6_TimeLeft,263.108
Type,N
FishN,18
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,1.15
Pond5Fish7_PondTime,62.399
Pond5Fish7_PondOutcome,66
Pond5Fish7_TotalOutcome,891
Pond5Fish7_TimeLeft,252.171
PondEnd_LastFish,7
FishN,14
Type,N
GiveUpTime,0.663
PondTime,74.741
TimeLeft,239.324
PondOutcome,66
TotalOutcome,891
PondStart,PondStart
PondIntroTime,13.047426196280867
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,1.366
Pond7Fish1_PondTime,7.624
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,902
Pond7Fish1_TimeLeft,218
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,0.964
Pond7Fish2_PondTime,13.527
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,913
Pond7Fish2_TimeLeft,212.097
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,1.035
Pond7Fish3_PondTime,19.657
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,924
Pond7Fish3_TimeLeft,205.967
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,-1
Pond7Fish4_PondTime,26.089
Pond7Fish4_PondOutcome,33
Pond7Fish4_TotalOutcome,924
Pond7Fish4_TimeLeft,199.535
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,1.35
Pond7Fish5_PondTime,32.741
Pond7Fish5_PondOutcome,44
Pond7Fish5_TotalOutcome,935
Pond7Fish5_TimeLeft,192.883
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,1.195
Pond7Fish6_PondTime,39.724
Pond7Fish6_PondOutcome,55
Pond7Fish6_TotalOutcome,946
Pond7Fish6_TimeLeft,185.9
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,1.158
Pond7Fish7_PondTime,47.092
Pond7Fish7_PondOutcome,66
Pond7Fish7_TotalOutcome,957
Pond7Fish7_TimeLeft,178.532
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,1.146
Pond7Fish8_PondTime,54.911
Pond7Fish8_PondOutcome,77
Pond7Fish8_TotalOutcome,968
Pond7Fish8_TimeLeft,170.713
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,1.401
Pond7Fish9_PondTime,63.284
Pond7Fish9_PondOutcome,88
Pond7Fish9_TotalOutcome,979
Pond7Fish9_TimeLeft,162.34
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,6
Pond7Fish10_CatchTime,1.389
Pond7Fish10_PondTime,72.313
Pond7Fish10_PondOutcome,99
Pond7Fish10_TotalOutcome,990
Pond7Fish10_TimeLeft,153.311
PondEnd_LastFish,10
FishN,19
Type,N
GiveUpTime,0.773
PondTime,72.684
TimeLeft,152.435
PondOutcome,99
TotalOutcome,990
PondStart,PondStart
PondIntroTime,15.303358109667897
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.024
Pond7Fish1_PondTime,8.035
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,1001
Pond7Fish1_TimeLeft,128.459
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.102
Pond7Fish2_PondTime,14.407
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,1012
Pond7Fish2_TimeLeft,122.086
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.312
Pond7Fish3_PondTime,21.054
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,1023
Pond7Fish3_TimeLeft,115.44
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.964
Pond7Fish4_PondTime,28.048
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,1034
Pond7Fish4_TimeLeft,108.446
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.101
Pond7Fish5_PondTime,35.406
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,1045
Pond7Fish5_TimeLeft,101.088
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.229
Pond7Fish6_PondTime,43.226
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,1056
Pond7Fish6_TimeLeft,93.268
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,-1
Pond7Fish7_PondTime,51.642
Pond7Fish7_PondOutcome,66
Pond7Fish7_TotalOutcome,1056
Pond7Fish7_TimeLeft,84.852
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,0.804
Pond7Fish8_PondTime,60.68
Pond7Fish8_PondOutcome,77
Pond7Fish8_TotalOutcome,1067
Pond7Fish8_TimeLeft,75.814
PondEnd_LastFish,8
FishN,17
Type,N
GiveUpTime,1.107
PondTime,60.799
TimeLeft,75.188
PondOutcome,77
TotalOutcome,1067
PondStart,PondStart
PondIntroTime,10.944455969147384
Type,N
FishN,18
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.5294117647058822
Pond3Fish1_CatchTime,1.022
Pond3Fish1_PondTime,8.034
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,1078
Pond3Fish1_TimeLeft,55.582
Type,N
FishN,18
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,3.75
Pond3Fish2_CatchTime,1.002
Pond3Fish2_PondTime,14.407
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,1089
Pond3Fish2_TimeLeft,49.209
Type,N
FishN,18
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4
Pond3Fish3_CatchTime,0.912
Pond3Fish3_PondTime,21.079
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,1100
Pond3Fish3_TimeLeft,42.537
Type,N
FishN,18
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.285714285714286
Pond3Fish4_CatchTime,0.924
Pond3Fish4_PondTime,28.076
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,1111
Pond3Fish4_TimeLeft,35.54
Type,N
FishN,18
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,4.615384615384615
Pond3Fish5_CatchTime,0.944
Pond3Fish5_PondTime,35.459
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,1122
Pond3Fish5_TimeLeft,28.156
Type,N
FishN,18
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5
Pond3Fish6_CatchTime,0.842
Pond3Fish6_PondTime,43.283
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,1133
Pond3Fish6_TimeLeft,20.333
Type,N
FishN,18
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,5.454545454545454
Pond3Fish7_CatchTime,0.873
Pond3Fish7_PondTime,51.662
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,1144
Pond3Fish7_TimeLeft,11.954
Type,N
FishN,18
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6
Pond3Fish8_CatchTime,0.786
Pond3Fish8_PondTime,60.697
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,1155
Pond3Fish8_TimeLeft,2.919
