,5dcd0b8541ba729640a82b0e
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.007
Pond3Fish10_PondTime,76.407
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,917
Pond3Fish10_TimeLeft,169.491
Type,N
FishN,18
Fish,11
Pond3Fish11_FishType,green
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,0.831
Pond3Fish11_PondTime,87.357
Pond3Fish11_PondOutcome,121
Pond3Fish11_TotalOutcome,928
Pond3Fish11_TimeLeft,158.541
Type,N
FishN,18
Fish,12
Pond3Fish12_FishType,green
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,0.943
Pond3Fish12_PondTime,99.742
Pond3Fish12_PondOutcome,132
Pond3Fish12_TotalOutcome,939
Pond3Fish12_TimeLeft,146.156
PondEnd_LastFish,12
FishN,18
Type,N
GiveUpTime,0.436
PondTime,113.727
TimeLeft,131.669
PondOutcome,132
TotalOutcome,939
PondStart,PondStart
PondIntroTime,11.150146936997771
Type,N
FishN,15
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4.285714285714286
Pond12Fish1_CatchTime,0.782
Pond12Fish1_PondTime,8.895
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,950
Pond12Fish1_TimeLeft,110.988
Type,N
FishN,15
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.615384615384615
Pond12Fish2_CatchTime,0.989
Pond12Fish2_PondTime,16.281
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,961
Pond12Fish2_TimeLeft,103.602
Type,N
FishN,15
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,5
Pond12Fish3_CatchTime,0.509
Pond12Fish3_PondTime,24.096
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,972
Pond12Fish3_TimeLeft,95.787
Type,N
FishN,15
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5.454545454545454
Pond12Fish4_CatchTime,0.917
Pond12Fish4_PondTime,32.482
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,983
Pond12Fish4_TimeLeft,87.401
Type,N
FishN,15
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,6
Pond12Fish5_CatchTime,0.891
Pond12Fish5_PondTime,41.515
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,994
Pond12Fish5_TimeLeft,78.368
Type,N
FishN,15
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6.666666666666667
Pond12Fish6_CatchTime,0.987
Pond12Fish6_PondTime,51.379
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,1005
Pond12Fish6_TimeLeft,68.504
Type,N
FishN,15
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,7.5
Pond12Fish7_CatchTime,-1
Pond12Fish7_PondTime,62.381
Pond12Fish7_PondOutcome,66
Pond12Fish7_TotalOutcome,1005
Pond12Fish7_TimeLeft,57.502
Type,N
FishN,15
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,8.571428571428571
Pond12Fish8_CatchTime,0.583
Pond12Fish8_PondTime,74.751
Pond12Fish8_PondOutcome,77
Pond12Fish8_TotalOutcome,1016
Pond12Fish8_TimeLeft,45.132
Type,N
FishN,15
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,10
Pond12Fish9_CatchTime,0.751
Pond12Fish9_PondTime,89.118
Pond12Fish9_PondOutcome,88
Pond12Fish9_TotalOutcome,1027
Pond12Fish9_TimeLeft,30.765
Type,N
FishN,15
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,12
Pond12Fish10_CatchTime,0.918
Pond12Fish10_PondTime,106.488
Pond12Fish10_PondOutcome,99
Pond12Fish10_TotalOutcome,1038
Pond12Fish10_TimeLeft,13.395
