,5c04e3a04e1b7b00016ad9a3
Pond1Fish5_PondTime,47.951
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,951
Pond1Fish5_TimeLeft,267.631
Type,N
FishN,18
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,8.571428571428571
Pond1Fish6_CatchTime,1.179
Pond1Fish6_PondTime,60.317
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,962
Pond1Fish6_TimeLeft,255.265
Type,N
FishN,18
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,10
Pond1Fish7_CatchTime,1.217
Pond1Fish7_PondTime,74.7
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,973
Pond1Fish7_TimeLeft,240.882
Type,N
FishN,18
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,12
Pond1Fish8_CatchTime,1.092
Pond1Fish8_PondTime,92.065
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,984
Pond1Fish8_TimeLeft,223.517
PondEnd_LastFish,8
FishN,12
Type,N
GiveUpTime,0.723
PondTime,92.087
TimeLeft,222.993
PondOutcome,88
TotalOutcome,984
PondStart,PondStart
PondIntroTime,11.795714912004769
Type,RT
FishN,12
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.804
Pond7Fish1_PondTime,8.133
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,994
Pond7Fish1_TimeLeft,202.451
Type,RT
FishN,12
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.153
Pond7Fish2_PondTime,14.502
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,1004
Pond7Fish2_TimeLeft,196.082
Type,RT
FishN,12
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,-1
Pond7Fish3_PondTime,21.231
Pond7Fish3_PondOutcome,20
Pond7Fish3_TotalOutcome,1004
Pond7Fish3_TimeLeft,189.353
Type,RT
FishN,12
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.278
Pond7Fish4_PondTime,28.217
Pond7Fish4_PondOutcome,30
Pond7Fish4_TotalOutcome,1014
Pond7Fish4_TimeLeft,182.367
Type,RT
FishN,12
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,0.823
Pond7Fish5_PondTime,35.585
Pond7Fish5_PondOutcome,40
Pond7Fish5_TotalOutcome,1024
Pond7Fish5_TimeLeft,174.999
Type,RT
FishN,12
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.966
Pond7Fish6_PondTime,43.42
Pond7Fish6_PondOutcome,50
Pond7Fish6_TotalOutcome,1034
Pond7Fish6_TimeLeft,167.164
Type,RT
FishN,12
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.969
Pond7Fish7_PondTime,51.795
Pond7Fish7_PondOutcome,60
Pond7Fish7_TotalOutcome,1044
Pond7Fish7_TimeLeft,158.789
Type,RT
FishN,12
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,0.934
Pond7Fish8_PondTime,60.833
Pond7Fish8_PondOutcome,70
Pond7Fish8_TotalOutcome,1054
Pond7Fish8_TimeLeft,149.751
Type,RT
FishN,12
Fish,9
Pond7Fish9_FishType,golden
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.386
Pond7Fish9_PondTime,70.713
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,1074
Pond7Fish9_TimeLeft,139.871
Type,RT
FishN,12
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.348
Pond7Fish10_PondTime,81.65
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,1084
Pond7Fish10_TimeLeft,128.934
Type,RT
FishN,12
Fish,11
Pond7Fish11_FishType,purple
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,0.821
Pond7Fish11_PondTime,94.031
Pond7Fish11_PondOutcome,110
Pond7Fish11_TotalOutcome,1094
Pond7Fish11_TimeLeft,116.553
Type,RT
FishN,12
Fish,12
Pond7Fish12_FishType,purple
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.086
Pond7Fish12_PondTime,108.4
Pond7Fish12_PondOutcome,120
Pond7Fish12_TotalOutcome,1104
Pond7Fish12_TimeLeft,102.184
PondEnd_LastFish,12
FishN,17
Type,RT
GiveUpTime,1.127
PondTime,108.825
TimeLeft,101.252
PondOutcome,120
TotalOutcome,1104
PondStart,PondStart
PondIntroTime,12.026759434957057
Type,N
FishN,15
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.186
Pond9Fish1_PondTime,9.734
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,1115
Pond9Fish1_TimeLeft,78.867
Type,N
FishN,15
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,0.779
Pond9Fish2_PondTime,18.116
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,1126
Pond9Fish2_TimeLeft,70.484
Type,N
FishN,15
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.161
Pond9Fish3_PondTime,27.151
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,1137
Pond9Fish3_TimeLeft,61.45
Type,N
FishN,15
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,1.231
Pond9Fish4_PondTime,37.017
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,1148
Pond9Fish4_TimeLeft,51.584
Type,N
FishN,15
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.418
Pond9Fish5_PondTime,47.95
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,1159
Pond9Fish5_TimeLeft,40.651
Type,N
FishN,15
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,1.211
Pond9Fish6_PondTime,60.316
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,1170
Pond9Fish6_TimeLeft,28.285
Type,N
FishN,15
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,0.919
Pond9Fish7_PondTime,74.673
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,1181
Pond9Fish7_TimeLeft,13.928
