,5e221ddf262a5b4f6368bb0e
Pond12Fish3_PondTime,20.289
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,863
Pond12Fish3_TimeLeft,337.313
Type,RT
FishN,18
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,4
Pond12Fish4_CatchTime,2.007
Pond12Fish4_PondTime,27.004
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,873
Pond12Fish4_TimeLeft,330.598
Type,RT
FishN,18
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,4.285714285714286
Pond12Fish5_CatchTime,1.012
Pond12Fish5_PondTime,33.977
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,883
Pond12Fish5_TimeLeft,323.625
Type,RT
FishN,18
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,4.615384615384615
Pond12Fish6_CatchTime,1.037
Pond12Fish6_PondTime,41.349
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,893
Pond12Fish6_TimeLeft,316.253
Type,RT
FishN,18
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,5
Pond12Fish7_CatchTime,1.371
Pond12Fish7_PondTime,49.164
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,903
Pond12Fish7_TimeLeft,308.438
Type,RT
FishN,18
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,5.454545454545454
Pond12Fish8_CatchTime,1.253
Pond12Fish8_PondTime,57.541
Pond12Fish8_PondOutcome,80
Pond12Fish8_TotalOutcome,913
Pond12Fish8_TimeLeft,300.061
PondEnd_LastFish,8
FishN,18
Type,RT
GiveUpTime,1.202
PondTime,58.196
TimeLeft,298.903
PondOutcome,80
TotalOutcome,913
PondStart,PondStart
PondIntroTime,11.44909012131393
Type,RT
FishN,18
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.148
Pond8Fish1_PondTime,8.899
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,923
Pond8Fish1_TimeLeft,277.92
Type,RT
FishN,18
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.956
Pond8Fish2_PondTime,16.525
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,933
Pond8Fish2_TimeLeft,270.294
Type,RT
FishN,18
Fish,3
Pond8Fish3_FishType,golden
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.922
Pond8Fish3_PondTime,24.337
Pond8Fish3_PondOutcome,40
Pond8Fish3_TotalOutcome,953
Pond8Fish3_TimeLeft,262.482
Type,RT
FishN,18
Fish,4
Pond8Fish4_FishType,golden
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.941
Pond8Fish4_PondTime,32.718
Pond8Fish4_PondOutcome,60
Pond8Fish4_TotalOutcome,973
Pond8Fish4_TimeLeft,254.101
Type,RT
FishN,18
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,1.588
Pond8Fish5_PondTime,41.742
Pond8Fish5_PondOutcome,70
Pond8Fish5_TotalOutcome,983
Pond8Fish5_TimeLeft,245.077
Type,RT
FishN,18
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,1.041
Pond8Fish6_PondTime,51.613
Pond8Fish6_PondOutcome,80
Pond8Fish6_TotalOutcome,993
Pond8Fish6_TimeLeft,235.206
Type,RT
FishN,18
Fish,7
Pond8Fish7_FishType,golden
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,1.109
Pond8Fish7_PondTime,62.556
Pond8Fish7_PondOutcome,100
Pond8Fish7_TotalOutcome,1013
Pond8Fish7_TimeLeft,224.263
Type,RT
FishN,18
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.352
Pond8Fish8_PondTime,74.924
Pond8Fish8_PondOutcome,110
Pond8Fish8_TotalOutcome,1023
Pond8Fish8_TimeLeft,211.895
Type,RT
FishN,18
Fish,9
Pond8Fish9_FishType,purple
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,1.275
Pond8Fish9_PondTime,89.294
Pond8Fish9_PondOutcome,120
Pond8Fish9_TotalOutcome,1033
Pond8Fish9_TimeLeft,197.525
PondEnd_LastFish,9
FishN,14
Type,RT
GiveUpTime,0.877
PondTime,89.664
TimeLeft,196.653
PondOutcome,120
TotalOutcome,1033
PondStart,PondStart
PondIntroTime,18.572668144479394
Type,RT
FishN,18
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.541
Pond1Fish1_PondTime,7.811
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,1043
Pond1Fish1_TimeLeft,169.634
Type,RT
FishN,18
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.276
Pond1Fish2_PondTime,13.916
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,1053
Pond1Fish2_TimeLeft,163.529
Type,RT
FishN,18
Fish,3
Pond1Fish3_FishType,golden
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.797
Pond1Fish3_PondTime,20.276
Pond1Fish3_PondOutcome,40
Pond1Fish3_TotalOutcome,1073
Pond1Fish3_TimeLeft,157.168
Type,RT
FishN,18
Fish,4
Pond1Fish4_FishType,purple
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,1.423
Pond1Fish4_PondTime,26.94
Pond1Fish4_PondOutcome,50
Pond1Fish4_TotalOutcome,1083
Pond1Fish4_TimeLeft,150.504
Type,RT
FishN,18
Fish,5
Pond1Fish5_FishType,purple
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,1.206
Pond1Fish5_PondTime,33.915
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,1093
Pond1Fish5_TimeLeft,143.53
Type,RT
FishN,18
Fish,6
Pond1Fish6_FishType,purple
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,-1
Pond1Fish6_PondTime,41.367
Pond1Fish6_PondOutcome,60
Pond1Fish6_TotalOutcome,1093
Pond1Fish6_TimeLeft,136.078
Type,RT
FishN,18
Fish,7
Pond1Fish7_FishType,purple
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,1.941
Pond1Fish7_PondTime,49.443
Pond1Fish7_PondOutcome,70
Pond1Fish7_TotalOutcome,1103
Pond1Fish7_TimeLeft,128.002
Type,RT
FishN,18
Fish,8
Pond1Fish8_FishType,purple
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,1.364
Pond1Fish8_PondTime,57.814
Pond1Fish8_PondOutcome,80
Pond1Fish8_TotalOutcome,1113
Pond1Fish8_TimeLeft,119.631
Type,RT
FishN,18
Fish,9
Pond1Fish9_FishType,golden
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.846
Pond1Fish9_PondTime,66.858
Pond1Fish9_PondOutcome,100
Pond1Fish9_TotalOutcome,1133
Pond1Fish9_TimeLeft,110.587
Type,RT
FishN,18
Fish,10
Pond1Fish10_FishType,purple
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,1.342
Pond1Fish10_PondTime,76.731
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,1143
Pond1Fish10_TimeLeft,100.714
Type,RT
FishN,18
Fish,11
Pond1Fish11_FishType,purple
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,1.084
Pond1Fish11_PondTime,87.675
Pond1Fish11_PondOutcome,120
Pond1Fish11_TotalOutcome,1153
Pond1Fish11_TimeLeft,89.77
Type,RT
FishN,18
Fish,12
Pond1Fish12_FishType,golden
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,1.295
Pond1Fish12_PondTime,100.047
Pond1Fish12_PondOutcome,140
Pond1Fish12_TotalOutcome,1173
Pond1Fish12_TimeLeft,77.398
Type,RT
FishN,18
Fish,13
Pond1Fish13_FishType,purple
Pond1Fish13_FishLatency,10
Pond1Fish13_CatchTime,1.162
Pond1Fish13_PondTime,114.416
Pond1Fish13_PondOutcome,150
Pond1Fish13_TotalOutcome,1183
Pond1Fish13_TimeLeft,63.028
Type,RT
FishN,18
Fish,14
Pond1Fish14_FishType,purple
Pond1Fish14_FishLatency,12
Pond1Fish14_CatchTime,0.97
Pond1Fish14_PondTime,131.784
Pond1Fish14_PondOutcome,160
Pond1Fish14_TotalOutcome,1193
Pond1Fish14_TimeLeft,45.66
PondEnd_LastFish,14
FishN,18
Type,RT
GiveUpTime,1.036
PondTime,131.991
TimeLeft,44.952
PondOutcome,160
TotalOutcome,1193
PondStart,PondStart
PondIntroTime,13.897810929920524
Type,RT
FishN,12
Fish,1
Pond7Fish1_FishType,golden
Pond7Fish1_FishLatency,5
Pond7Fish1_CatchTime,0.897
Pond7Fish1_PondTime,9.733
Pond7Fish1_PondOutcome,20
Pond7Fish1_TotalOutcome,1213
Pond7Fish1_TimeLeft,20.68
Type,RT
FishN,12
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,5.454545454545454
Pond7Fish2_CatchTime,1.691
Pond7Fish2_PondTime,18.101
Pond7Fish2_PondOutcome,30
Pond7Fish2_TotalOutcome,1223
Pond7Fish2_TimeLeft,12.312
Type,RT
FishN,12
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,6
Pond7Fish3_CatchTime,1.195
Pond7Fish3_PondTime,27.148
Pond7Fish3_PondOutcome,40
Pond7Fish3_TotalOutcome,1233
Pond7Fish3_TimeLeft,3.265
