,5ccc3dd7a758ba00133c0763
Pond3Fish1_CatchTime,1.365
Pond3Fish1_PondTime,7.801
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,885
Pond3Fish1_TimeLeft,131.584
Type,RD
FishN,18
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,0.897
Pond3Fish2_PondTime,13.918
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,897
Pond3Fish2_TimeLeft,125.467
Type,RD
FishN,18
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.951
Pond3Fish3_PondTime,20.287
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,909
Pond3Fish3_TimeLeft,119.098
Type,RD
FishN,18
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.783
Pond3Fish4_PondTime,26.935
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,921
Pond3Fish4_TimeLeft,112.45
Type,RD
FishN,18
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.821
Pond3Fish5_PondTime,33.919
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,933
Pond3Fish5_TimeLeft,105.466
Type,RD
FishN,18
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.931
Pond3Fish6_PondTime,41.286
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,945
Pond3Fish6_TimeLeft,98.099
Type,RD
FishN,18
Fish,7
Pond3Fish7_FishType,gray
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,1.136
Pond3Fish7_PondTime,49.103
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,947
Pond3Fish7_TimeLeft,90.282
Type,RD
FishN,18
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.743
Pond3Fish8_PondTime,57.47
Pond3Fish8_PondOutcome,86
Pond3Fish8_TotalOutcome,959
Pond3Fish8_TimeLeft,81.915
Type,RD
FishN,18
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,2.002
Pond3Fish9_PondTime,66.57
Pond3Fish9_PondOutcome,98
Pond3Fish9_TotalOutcome,971
Pond3Fish9_TimeLeft,72.815
Type,RD
FishN,18
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,1.05
Pond3Fish10_PondTime,76.437
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,983
Pond3Fish10_TimeLeft,62.948
Type,RD
FishN,18
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,0.842
Pond3Fish11_PondTime,87.373
Pond3Fish11_PondOutcome,122
Pond3Fish11_TotalOutcome,995
Pond3Fish11_TimeLeft,52.012
PondEnd_LastFish,11
FishN,18
Type,RD
GiveUpTime,0.952
PondTime,87.374
TimeLeft,51.51
PondOutcome,122
TotalOutcome,995
PondStart,PondStart
PondIntroTime,12.155247279442847
Type,N
FishN,15
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.285714285714286
Pond6Fish1_CatchTime,1.091
Pond6Fish1_PondTime,8.885
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,1006
Pond6Fish1_TimeLeft,29.844
Type,N
FishN,15
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,4.615384615384615
Pond6Fish2_CatchTime,-1
Pond6Fish2_PondTime,16.318
Pond6Fish2_PondOutcome,11
Pond6Fish2_TotalOutcome,1006
Pond6Fish2_TimeLeft,22.411
