,5dd9d2b6144b519668cabfc7
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,1.163
Pond7Fish1_PondTime,8.068
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,919
Pond7Fish1_TimeLeft,50.054
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.124
Pond7Fish2_PondTime,14.452
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,930
Pond7Fish2_TimeLeft,43.67
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.024
Pond7Fish3_PondTime,21.135
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,941
Pond7Fish3_TimeLeft,36.987
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.896
Pond7Fish4_PondTime,28.149
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,952
Pond7Fish4_TimeLeft,29.973
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,0.856
Pond7Fish5_PondTime,35.549
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,963
Pond7Fish5_TimeLeft,22.573
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.054
Pond7Fish6_PondTime,43.4
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,974
Pond7Fish6_TimeLeft,14.722
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.99
Pond7Fish7_PondTime,51.801
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,985
Pond7Fish7_TimeLeft,6.321
