,5de743d4efe1476cacd0365c
FishN,16
Fish,13
Pond4Fish13_FishType,green
Pond4Fish13_FishLatency,12
Pond4Fish13_CatchTime,0.81
Pond4Fish13_PondTime,127.215
Pond4Fish13_PondOutcome,143
Pond4Fish13_TotalOutcome,928
Pond4Fish13_TimeLeft,55.835
Type,N
FishN,16
Fish,14
Pond4Fish14_FishType,green
Pond4Fish14_FishLatency,15
Pond4Fish14_CatchTime,1.048
Pond4Fish14_PondTime,151.37
Pond4Fish14_PondOutcome,154
Pond4Fish14_TotalOutcome,939
Pond4Fish14_TimeLeft,31.68
