,5d495ad410bee7001bd0f4ee
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,932
Pond5Fish3_TimeLeft,98.257
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4.285714285714286
Pond5Fish4_CatchTime,1.168
Pond5Fish4_PondTime,28.257
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,944
Pond5Fish4_TimeLeft,91.207
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4.615384615384615
Pond5Fish5_CatchTime,1.088
Pond5Fish5_PondTime,35.662
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,956
Pond5Fish5_TimeLeft,83.802
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,5
Pond5Fish6_CatchTime,1.154
Pond5Fish6_PondTime,43.517
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,968
Pond5Fish6_TimeLeft,75.947
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,5.454545454545454
Pond5Fish7_CatchTime,1.069
Pond5Fish7_PondTime,51.88
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,980
Pond5Fish7_TimeLeft,67.584
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,6
Pond5Fish8_CatchTime,1.402
Pond5Fish8_PondTime,60.937
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,992
Pond5Fish8_TimeLeft,58.526
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,6.666666666666667
Pond5Fish9_CatchTime,1.278
Pond5Fish9_PondTime,70.825
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,1004
Pond5Fish9_TimeLeft,48.639
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,7.5
Pond5Fish10_CatchTime,1.204
Pond5Fish10_PondTime,81.758
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,1016
Pond5Fish10_TimeLeft,37.706
Type,RD
FishN,12
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,8.571428571428571
Pond5Fish11_CatchTime,2.038
Pond5Fish11_PondTime,94.227
Pond5Fish11_PondOutcome,132
Pond5Fish11_TotalOutcome,1028
Pond5Fish11_TimeLeft,25.237
Type,RD
FishN,12
Fish,12
Pond5Fish12_FishType,blue
Pond5Fish12_FishLatency,10
Pond5Fish12_CatchTime,1.237
Pond5Fish12_PondTime,108.655
Pond5Fish12_PondOutcome,144
Pond5Fish12_TotalOutcome,1040
Pond5Fish12_TimeLeft,10.809
