,5bef1fe8165b120001bb671e
Pond6Fish6_FishLatency,6.666666666666667
Pond6Fish6_CatchTime,0.741
Pond6Fish6_PondTime,51.334
Pond6Fish6_PondOutcome,60
Pond6Fish6_TotalOutcome,912
Pond6Fish6_TimeLeft,113.98
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,7.5
Pond6Fish7_CatchTime,0.779
Pond6Fish7_PondTime,62.267
Pond6Fish7_PondOutcome,70
Pond6Fish7_TotalOutcome,922
Pond6Fish7_TimeLeft,103.047
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,8.571428571428571
Pond6Fish8_CatchTime,0.649
Pond6Fish8_PondTime,74.634
Pond6Fish8_PondOutcome,80
Pond6Fish8_TotalOutcome,932
Pond6Fish8_TimeLeft,90.68
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,10
Pond6Fish9_CatchTime,0.673
Pond6Fish9_PondTime,89.001
Pond6Fish9_PondOutcome,90
Pond6Fish9_TotalOutcome,942
Pond6Fish9_TimeLeft,76.313
Type,RT
FishN,19
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,12
Pond6Fish10_CatchTime,0.877
Pond6Fish10_PondTime,106.367
Pond6Fish10_PondOutcome,100
Pond6Fish10_TotalOutcome,952
Pond6Fish10_TimeLeft,58.947
Type,RT
FishN,19
Fish,11
Pond6Fish11_FishType,golden
Pond6Fish11_FishLatency,15
Pond6Fish11_CatchTime,1.045
Pond6Fish11_PondTime,128.732
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,972
Pond6Fish11_TimeLeft,36.582
Type,RT
FishN,19
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,20
Pond6Fish12_CatchTime,1.007
Pond6Fish12_PondTime,161.099
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,982
Pond6Fish12_TimeLeft,4.215
