,5dfde35aecb3eaa9b7c0db0f
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,1.483
Pond10Fish8_PondTime,74.867
Pond10Fish8_PondOutcome,86
Pond10Fish8_TotalOutcome,918
Pond10Fish8_TimeLeft,97.957
Type,RD
FishN,19
Fish,9
Pond10Fish9_FishType,blue
Pond10Fish9_FishLatency,10
Pond10Fish9_CatchTime,1.215
Pond10Fish9_PondTime,89.246
Pond10Fish9_PondOutcome,98
Pond10Fish9_TotalOutcome,930
Pond10Fish9_TimeLeft,83.577
Type,RD
FishN,19
Fish,10
Pond10Fish10_FishType,blue
Pond10Fish10_FishLatency,12
Pond10Fish10_CatchTime,1.13
Pond10Fish10_PondTime,106.625
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,942
Pond10Fish10_TimeLeft,66.199
Type,RD
FishN,19
Fish,11
Pond10Fish11_FishType,blue
Pond10Fish11_FishLatency,15
Pond10Fish11_CatchTime,1.256
Pond10Fish11_PondTime,128.99
Pond10Fish11_PondOutcome,122
Pond10Fish11_TotalOutcome,954
Pond10Fish11_TimeLeft,43.834
Type,RD
FishN,19
Fish,12
Pond10Fish12_FishType,blue
Pond10Fish12_FishLatency,20
Pond10Fish12_CatchTime,1.131
Pond10Fish12_PondTime,161.376
Pond10Fish12_PondOutcome,134
Pond10Fish12_TotalOutcome,966
Pond10Fish12_TimeLeft,11.447
