,5ba3f8c30f4cba000157ea20
FishN,14
Fish,2
Pond11Fish2_FishType,golden
Pond11Fish2_FishLatency,4
Pond11Fish2_CatchTime,0.698
Pond11Fish2_PondTime,14.917
Pond11Fish2_PondOutcome,30
Pond11Fish2_TotalOutcome,859
Pond11Fish2_TimeLeft,178.368
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,4.285714285714286
Pond11Fish3_CatchTime,0.544
Pond11Fish3_PondTime,21.904
Pond11Fish3_PondOutcome,40
Pond11Fish3_TotalOutcome,869
Pond11Fish3_TimeLeft,171.382
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,4.615384615384615
Pond11Fish4_CatchTime,0.704
Pond11Fish4_PondTime,29.268
Pond11Fish4_PondOutcome,50
Pond11Fish4_TotalOutcome,879
Pond11Fish4_TimeLeft,164.018
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,5
Pond11Fish5_CatchTime,0.639
Pond11Fish5_PondTime,37.084
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,889
Pond11Fish5_TimeLeft,156.202
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.763
Pond11Fish6_PondTime,45.45
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,899
Pond11Fish6_TimeLeft,147.836
PondEnd_LastFish,6
FishN,14
Type,RT
GiveUpTime,0.185
PondTime,53.517
TimeLeft,139.267
PondOutcome,70
TotalOutcome,899
PondStart,PondStart
PondIntroTime,13.178690443746746
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,gray
Pond3Fish1_FishLatency,3.3333333333333335
Pond3Fish1_CatchTime,0.779
Pond3Fish1_PondTime,8.773
Pond3Fish1_PondOutcome,2
Pond3Fish1_TotalOutcome,901
Pond3Fish1_TimeLeft,116.696
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,3.5294117647058822
Pond3Fish2_CatchTime,0.627
Pond3Fish2_PondTime,14.883
Pond3Fish2_PondOutcome,14
Pond3Fish2_TotalOutcome,913
Pond3Fish2_TimeLeft,110.586
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,0.762
Pond3Fish3_PondTime,21.251
Pond3Fish3_PondOutcome,26
Pond3Fish3_TotalOutcome,925
Pond3Fish3_TimeLeft,104.218
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4
Pond3Fish4_CatchTime,0.568
Pond3Fish4_PondTime,27.9
Pond3Fish4_PondOutcome,38
Pond3Fish4_TotalOutcome,937
Pond3Fish4_TimeLeft,97.569
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,4.285714285714286
Pond3Fish5_CatchTime,0.654
Pond3Fish5_PondTime,34.884
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,949
Pond3Fish5_TimeLeft,90.585
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.532
Pond3Fish6_PondTime,42.252
Pond3Fish6_PondOutcome,62
Pond3Fish6_TotalOutcome,961
Pond3Fish6_TimeLeft,83.217
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,5
Pond3Fish7_CatchTime,0.559
Pond3Fish7_PondTime,50.067
Pond3Fish7_PondOutcome,74
Pond3Fish7_TotalOutcome,973
Pond3Fish7_TimeLeft,75.402
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,gray
Pond3Fish8_FishLatency,5.454545454545454
Pond3Fish8_CatchTime,0.622
Pond3Fish8_PondTime,58.435
Pond3Fish8_PondOutcome,76
Pond3Fish8_TotalOutcome,975
Pond3Fish8_TimeLeft,67.034
Type,RD
FishN,19
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,0.756
Pond3Fish9_PondTime,67.469
Pond3Fish9_PondOutcome,88
Pond3Fish9_TotalOutcome,987
Pond3Fish9_TimeLeft,58
Type,RD
FishN,19
Fish,10
Pond3Fish10_FishType,gray
Pond3Fish10_FishLatency,6.666666666666667
Pond3Fish10_CatchTime,0.607
Pond3Fish10_PondTime,77.334
Pond3Fish10_PondOutcome,90
Pond3Fish10_TotalOutcome,989
Pond3Fish10_TimeLeft,48.135
Type,RD
FishN,19
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,7.5
Pond3Fish11_CatchTime,0.985
Pond3Fish11_PondTime,88.27
Pond3Fish11_PondOutcome,102
Pond3Fish11_TotalOutcome,1001
Pond3Fish11_TimeLeft,37.199
Type,RD
FishN,19
Fish,12
Pond3Fish12_FishType,gray
Pond3Fish12_FishLatency,8.571428571428571
Pond3Fish12_CatchTime,1.866
Pond3Fish12_PondTime,100.817
Pond3Fish12_PondOutcome,104
Pond3Fish12_TotalOutcome,1003
Pond3Fish12_TimeLeft,24.652
PondEnd_LastFish,12
FishN,19
Type,RD
GiveUpTime,0.352
PondTime,101.068
TimeLeft,23.899
PondOutcome,104
TotalOutcome,1003
PondStart,PondStart
PondIntroTime,19.9834684189409
