,5c86d30937a7290017e5e1c6
Pond11Fish5_TimeLeft,355.826
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,5.454545454545454
Pond11Fish6_CatchTime,0.991
Pond11Fish6_PondTime,45.935
Pond11Fish6_PondOutcome,70
Pond11Fish6_TotalOutcome,903
Pond11Fish6_TimeLeft,347.409
Type,RT
FishN,14
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,6
Pond11Fish7_CatchTime,1.16
Pond11Fish7_PondTime,55.055
Pond11Fish7_PondOutcome,80
Pond11Fish7_TotalOutcome,913
Pond11Fish7_TimeLeft,338.289
Type,RT
FishN,14
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,6.666666666666667
Pond11Fish8_CatchTime,1.113
Pond11Fish8_PondTime,65.015
Pond11Fish8_PondOutcome,90
Pond11Fish8_TotalOutcome,923
Pond11Fish8_TimeLeft,328.329
Type,RT
FishN,14
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,7.5
Pond11Fish9_CatchTime,1.032
Pond11Fish9_PondTime,76.058
Pond11Fish9_PondOutcome,100
Pond11Fish9_TotalOutcome,933
Pond11Fish9_TimeLeft,317.286
Type,RT
FishN,14
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,8.571428571428571
Pond11Fish10_CatchTime,1.234
Pond11Fish10_PondTime,88.532
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,943
Pond11Fish10_TimeLeft,304.812
Type,RT
FishN,14
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,10
Pond11Fish11_CatchTime,1.307
Pond11Fish11_PondTime,103.008
Pond11Fish11_PondOutcome,120
Pond11Fish11_TotalOutcome,953
Pond11Fish11_TimeLeft,290.336
Type,RT
FishN,14
Fish,12
Pond11Fish12_FishType,purple
Pond11Fish12_FishLatency,12
Pond11Fish12_CatchTime,1.111
Pond11Fish12_PondTime,120.443
Pond11Fish12_PondOutcome,130
Pond11Fish12_TotalOutcome,963
Pond11Fish12_TimeLeft,272.901
PondEnd_LastFish,12
FishN,14
Type,RT
GiveUpTime,0.904
PondTime,120.657
TimeLeft,272.182
PondOutcome,130
TotalOutcome,963
PondStart,PondStart
PondIntroTime,16.379935769364238
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.049
Pond5Fish1_PondTime,7.892
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,975
Pond5Fish1_TimeLeft,247.275
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,1.209
Pond5Fish2_PondTime,14.083
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,987
Pond5Fish2_TimeLeft,241.083
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,1.2
Pond5Fish3_PondTime,20.533
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,999
Pond5Fish3_TimeLeft,234.634
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,0.969
Pond5Fish4_PondTime,27.298
Pond5Fish4_PondOutcome,48
Pond5Fish4_TotalOutcome,1011
Pond5Fish4_TimeLeft,227.869
Type,RD
FishN,12
Fish,5
Pond5Fish5_FishType,blue
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,0.974
Pond5Fish5_PondTime,34.365
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,1023
Pond5Fish5_TimeLeft,220.802
Type,RD
FishN,12
Fish,6
Pond5Fish6_FishType,blue
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,0.936
Pond5Fish6_PondTime,41.795
Pond5Fish6_PondOutcome,72
Pond5Fish6_TotalOutcome,1035
Pond5Fish6_TimeLeft,213.372
Type,RD
FishN,12
Fish,7
Pond5Fish7_FishType,blue
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,0.834
Pond5Fish7_PondTime,49.71
Pond5Fish7_PondOutcome,84
Pond5Fish7_TotalOutcome,1047
Pond5Fish7_TimeLeft,205.456
Type,RD
FishN,12
Fish,8
Pond5Fish8_FishType,blue
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,1.039
Pond5Fish8_PondTime,58.18
Pond5Fish8_PondOutcome,96
Pond5Fish8_TotalOutcome,1059
Pond5Fish8_TimeLeft,196.987
Type,RD
FishN,12
Fish,9
Pond5Fish9_FishType,blue
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,1.089
Pond5Fish9_PondTime,67.303
Pond5Fish9_PondOutcome,108
Pond5Fish9_TotalOutcome,1071
Pond5Fish9_TimeLeft,187.864
Type,RD
FishN,12
Fish,10
Pond5Fish10_FishType,blue
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,1.047
Pond5Fish10_PondTime,77.249
Pond5Fish10_PondOutcome,120
Pond5Fish10_TotalOutcome,1083
Pond5Fish10_TimeLeft,177.918
Type,RD
FishN,12
Fish,11
Pond5Fish11_FishType,blue
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,0.745
Pond5Fish11_PondTime,88.247
Pond5Fish11_PondOutcome,132
Pond5Fish11_TotalOutcome,1095
Pond5Fish11_TimeLeft,166.919
PondEnd_LastFish,11
FishN,12
Type,RD
GiveUpTime,0.823
PondTime,100.717
TimeLeft,153.945
PondOutcome,132
TotalOutcome,1095
PondStart,PondStart
PondIntroTime,14.955551414750516
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.75
Pond1Fish1_CatchTime,1.383
Pond1Fish1_PondTime,8.381
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,1106
Pond1Fish1_TimeLeft,129.918
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4
Pond1Fish2_CatchTime,1.835
Pond1Fish2_PondTime,15.228
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,1117
Pond1Fish2_TimeLeft,123.071
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,4.285714285714286
Pond1Fish3_CatchTime,1.101
Pond1Fish3_PondTime,22.305
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,1128
Pond1Fish3_TimeLeft,115.994
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4.615384615384615
Pond1Fish4_CatchTime,1.111
Pond1Fish4_PondTime,29.738
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,1139
Pond1Fish4_TimeLeft,108.561
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,5
Pond1Fish5_CatchTime,1.238
Pond1Fish5_PondTime,37.636
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,1150
Pond1Fish5_TimeLeft,100.662
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,5.454545454545454
Pond1Fish6_CatchTime,1.179
Pond1Fish6_PondTime,46.068
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,1161
Pond1Fish6_TimeLeft,92.231
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,6
Pond1Fish7_CatchTime,1.224
Pond1Fish7_PondTime,55.171
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,1172
Pond1Fish7_TimeLeft,83.128
Type,N
FishN,19
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,6.666666666666667
Pond1Fish8_CatchTime,0.994
Pond1Fish8_PondTime,65.124
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,1183
Pond1Fish8_TimeLeft,73.175
Type,N
FishN,19
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,7.5
Pond1Fish9_CatchTime,1.192
Pond1Fish9_PondTime,76.149
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,1194
Pond1Fish9_TimeLeft,62.15
Type,N
FishN,19
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,8.571428571428571
Pond1Fish10_CatchTime,1.123
Pond1Fish10_PondTime,88.592
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,1205
Pond1Fish10_TimeLeft,49.707
Type,N
FishN,19
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,10
Pond1Fish11_CatchTime,1.193
Pond1Fish11_PondTime,103.031
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,1216
Pond1Fish11_TimeLeft,35.268
PondEnd_LastFish,11
FishN,19
Type,N
GiveUpTime,0.958
PondTime,103.389
TimeLeft,34.398
PondOutcome,121
TotalOutcome,1216
PondStart,PondStart
PondIntroTime,14.825003361329436
Type,RT
FishN,19
Fish,1
Pond1Fish1_FishType,purple
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.035
Pond1Fish1_PondTime,8.979
Pond1Fish1_PondOutcome,10
Pond1Fish1_TotalOutcome,1226
Pond1Fish1_TimeLeft,9.93
Type,RT
FishN,19
Fish,2
Pond1Fish2_FishType,purple
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,0.863
Pond1Fish2_PondTime,16.453
Pond1Fish2_PondOutcome,20
Pond1Fish2_TotalOutcome,1236
Pond1Fish2_TimeLeft,2.456
