,568096c0c5767f00121cca3f
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,5.454545454545454
Pond1Fish3_CatchTime,0.923
Pond1Fish3_PondTime,25.496
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,910
Pond1Fish3_TimeLeft,112.071
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,6
Pond1Fish4_CatchTime,1.325
Pond1Fish4_PondTime,34.538
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,922
Pond1Fish4_TimeLeft,103.029
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,6.666666666666667
Pond1Fish5_CatchTime,0.664
Pond1Fish5_PondTime,44.414
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,934
Pond1Fish5_TimeLeft,93.153
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,gray
Pond1Fish6_FishLatency,7.5
Pond1Fish6_CatchTime,0.869
Pond1Fish6_PondTime,55.361
Pond1Fish6_PondOutcome,62
Pond1Fish6_TotalOutcome,936
Pond1Fish6_TimeLeft,82.206
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,gray
Pond1Fish7_FishLatency,8.571428571428571
Pond1Fish7_CatchTime,0.913
Pond1Fish7_PondTime,67.738
Pond1Fish7_PondOutcome,64
Pond1Fish7_TotalOutcome,938
Pond1Fish7_TimeLeft,69.829
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,10
Pond1Fish8_CatchTime,0.726
Pond1Fish8_PondTime,82.115
Pond1Fish8_PondOutcome,76
Pond1Fish8_TotalOutcome,950
Pond1Fish8_TimeLeft,55.452
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,12
Pond1Fish9_CatchTime,1.064
Pond1Fish9_PondTime,99.483
Pond1Fish9_PondOutcome,88
Pond1Fish9_TotalOutcome,962
Pond1Fish9_TimeLeft,38.084
PondEnd_LastFish,9
FishN,19
Type,RD
GiveUpTime,0.634
PondTime,121.559
TimeLeft,15.506
PondOutcome,88
TotalOutcome,962
PondStart,PondStart
PondIntroTime,17.23493413766846
