,5bdd41fe18f1b9000173f12a
Pond7Fish3_FishLatency,5.454545454545454
Pond7Fish3_CatchTime,1.027
Pond7Fish3_PondTime,25.479
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,875
Pond7Fish3_TimeLeft,169.311
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,6
Pond7Fish4_CatchTime,1.037
Pond7Fish4_PondTime,34.515
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,887
Pond7Fish4_TimeLeft,160.275
Type,RD
FishN,15
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,6.666666666666667
Pond7Fish5_CatchTime,0.768
Pond7Fish5_PondTime,44.383
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,899
Pond7Fish5_TimeLeft,150.407
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,7.5
Pond7Fish6_CatchTime,0.993
Pond7Fish6_PondTime,55.317
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,911
Pond7Fish6_TimeLeft,139.473
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,8.571428571428571
Pond7Fish7_CatchTime,0.965
Pond7Fish7_PondTime,67.679
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,923
Pond7Fish7_TimeLeft,127.111
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,10
Pond7Fish8_CatchTime,1.049
Pond7Fish8_PondTime,82.034
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,935
Pond7Fish8_TimeLeft,112.755
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,12
Pond7Fish9_CatchTime,1.067
Pond7Fish9_PondTime,99.396
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,947
Pond7Fish9_TimeLeft,95.394
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,15
Pond7Fish10_CatchTime,1.126
Pond7Fish10_PondTime,121.759
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,959
Pond7Fish10_TimeLeft,73.031
PondEnd_LastFish,10
FishN,15
Type,RD
GiveUpTime,16.347
PondTime,137.445
TimeLeft,56.843
PondOutcome,120
TotalOutcome,959
PondStart,PondStart
PondIntroTime,11.430678074248135
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.95
Pond10Fish1_PondTime,8.563
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,970
Pond10Fish1_TimeLeft,36.221
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.185
Pond10Fish2_PondTime,15.536
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,981
Pond10Fish2_TimeLeft,29.249
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.175
Pond10Fish3_PondTime,22.914
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,992
Pond10Fish3_TimeLeft,21.871
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.268
Pond10Fish4_PondTime,30.723
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,1003
Pond10Fish4_TimeLeft,14.062
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.449
Pond10Fish5_PondTime,39.078
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,1014
Pond10Fish5_TimeLeft,5.707
