,5c6ead0566817100014bfec1
Pond6Fish9_TimeLeft,243.166
Type,N
FishN,19
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,10
Pond6Fish10_CatchTime,1.015
Pond6Fish10_PondTime,95.618
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,945
Pond6Fish10_TimeLeft,228.81
Type,N
FishN,19
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,12
Pond6Fish11_CatchTime,1.298
Pond6Fish11_PondTime,112.974
Pond6Fish11_PondOutcome,121
Pond6Fish11_TotalOutcome,956
Pond6Fish11_TimeLeft,211.454
PondEnd_LastFish,11
FishN,19
Type,N
GiveUpTime,0.839
PondTime,113.314
TimeLeft,210.612
PondOutcome,121
TotalOutcome,956
PondStart,PondStart
PondIntroTime,18.728655900340527
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,3.3333333333333335
Pond10Fish1_CatchTime,0.993
Pond10Fish1_PondTime,7.805
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,967
Pond10Fish1_TimeLeft,183.436
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,3.5294117647058822
Pond10Fish2_CatchTime,0.948
Pond10Fish2_PondTime,13.922
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,978
Pond10Fish2_TimeLeft,177.319
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,3.75
Pond10Fish3_CatchTime,1.734
Pond10Fish3_PondTime,20.335
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,989
Pond10Fish3_TimeLeft,170.906
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,4
Pond10Fish4_CatchTime,1.179
Pond10Fish4_PondTime,26.986
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,1000
Pond10Fish4_TimeLeft,164.255
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,4.285714285714286
Pond10Fish5_CatchTime,1.147
Pond10Fish5_PondTime,33.97
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,1011
Pond10Fish5_TimeLeft,157.271
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,4.615384615384615
Pond10Fish6_CatchTime,1.268
Pond10Fish6_PondTime,41.335
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,1022
Pond10Fish6_TimeLeft,149.906
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,5
Pond10Fish7_CatchTime,1.317
Pond10Fish7_PondTime,49.144
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,1033
Pond10Fish7_TimeLeft,142.097
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,5.454545454545454
Pond10Fish8_CatchTime,1.135
Pond10Fish8_PondTime,57.502
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,1044
Pond10Fish8_TimeLeft,133.739
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,6
Pond10Fish9_CatchTime,1.286
Pond10Fish9_PondTime,66.534
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,1055
Pond10Fish9_TimeLeft,124.707
Type,N
FishN,19
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,6.666666666666667
Pond10Fish10_CatchTime,0.947
Pond10Fish10_PondTime,76.401
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,1066
Pond10Fish10_TimeLeft,114.84
Type,N
FishN,19
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,7.5
Pond10Fish11_CatchTime,1.047
Pond10Fish11_PondTime,87.338
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,1077
Pond10Fish11_TimeLeft,103.903
Type,N
FishN,19
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,8.571428571428571
Pond10Fish12_CatchTime,2.049
Pond10Fish12_PondTime,99.766
Pond10Fish12_PondOutcome,132
Pond10Fish12_TotalOutcome,1088
Pond10Fish12_TimeLeft,91.475
Type,N
FishN,19
Fish,13
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,10
Pond10Fish13_CatchTime,1.071
Pond10Fish13_PondTime,114.133
Pond10Fish13_PondOutcome,143
Pond10Fish13_TotalOutcome,1099
Pond10Fish13_TimeLeft,77.108
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,14.415
PondTime,127.831
TimeLeft,62.909
PondOutcome,143
TotalOutcome,1099
PondStart,PondStart
PondIntroTime,14.685280316043645
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.98
Pond9Fish1_PondTime,7.606
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,1110
Pond9Fish1_TimeLeft,39.96
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,0.985
Pond9Fish2_PondTime,13.489
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,1121
Pond9Fish2_TimeLeft,34.077
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,1.517
Pond9Fish3_PondTime,19.597
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,1132
Pond9Fish3_TimeLeft,27.969
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,0.862
Pond9Fish4_PondTime,25.953
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,1143
Pond9Fish4_TimeLeft,21.613
PondEnd_LastFish,4
FishN,16
Type,N
GiveUpTime,0.641
PondTime,32.195
TimeLeft,14.87
PondOutcome,44
TotalOutcome,1143
PondStart,PondStart
PondIntroTime,13.421787235420197
