,5d45d84d1a2c130015ebc6ee
Pond4Fish12_PondTime,108.178
Pond4Fish12_PondOutcome,150
Pond4Fish12_TotalOutcome,917
Pond4Fish12_TimeLeft,164.27
Type,RT
FishN,16
Fish,13
Pond4Fish13_FishType,golden
Pond4Fish13_FishLatency,12
Pond4Fish13_CatchTime,1.049
Pond4Fish13_PondTime,125.543
Pond4Fish13_PondOutcome,170
Pond4Fish13_TotalOutcome,937
Pond4Fish13_TimeLeft,146.905
Type,RT
FishN,16
Fish,14
Pond4Fish14_FishType,purple
Pond4Fish14_FishLatency,15
Pond4Fish14_CatchTime,1.014
Pond4Fish14_PondTime,147.921
Pond4Fish14_PondOutcome,180
Pond4Fish14_TotalOutcome,947
Pond4Fish14_TimeLeft,124.527
Type,RT
FishN,16
Fish,15
Pond4Fish15_FishType,purple
Pond4Fish15_FishLatency,20
Pond4Fish15_CatchTime,0.848
Pond4Fish15_PondTime,180.291
Pond4Fish15_PondOutcome,190
Pond4Fish15_TotalOutcome,957
Pond4Fish15_TimeLeft,92.157
PondEnd_LastFish,15
FishN,16
Type,RT
GiveUpTime,40.893
PondTime,220.228
TimeLeft,51.716
PondOutcome,190
TotalOutcome,957
PondStart,PondStart
PondIntroTime,12.281444030813873
Type,RD
FishN,19
Fish,1
Pond10Fish1_FishType,blue
Pond10Fish1_FishLatency,3.5294117647058822
Pond10Fish1_CatchTime,0.79
Pond10Fish1_PondTime,8.021
Pond10Fish1_PondOutcome,12
Pond10Fish1_TotalOutcome,969
Pond10Fish1_TimeLeft,30.78
Type,RD
FishN,19
Fish,2
Pond10Fish2_FishType,blue
Pond10Fish2_FishLatency,3.75
Pond10Fish2_CatchTime,1.328
Pond10Fish2_PondTime,14.395
Pond10Fish2_PondOutcome,24
Pond10Fish2_TotalOutcome,981
Pond10Fish2_TimeLeft,24.407
Type,RD
FishN,19
Fish,3
Pond10Fish3_FishType,gray
Pond10Fish3_FishLatency,4
Pond10Fish3_CatchTime,1.028
Pond10Fish3_PondTime,21.044
Pond10Fish3_PondOutcome,26
Pond10Fish3_TotalOutcome,983
Pond10Fish3_TimeLeft,17.758
Type,RD
FishN,19
Fish,4
Pond10Fish4_FishType,gray
Pond10Fish4_FishLatency,4.285714285714286
Pond10Fish4_CatchTime,1.054
Pond10Fish4_PondTime,28.029
Pond10Fish4_PondOutcome,28
Pond10Fish4_TotalOutcome,985
Pond10Fish4_TimeLeft,10.773
Type,RD
FishN,19
Fish,5
Pond10Fish5_FishType,blue
Pond10Fish5_FishLatency,4.615384615384615
Pond10Fish5_CatchTime,1.011
Pond10Fish5_PondTime,35.395
Pond10Fish5_PondOutcome,40
Pond10Fish5_TotalOutcome,997
Pond10Fish5_TimeLeft,3.407
