,5c636850bad3560001c2749e
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.18
Pond10Fish5_PondTime,39.083
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,881
Pond10Fish5_TimeLeft,82.333
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,0.851
Pond10Fish6_PondTime,48.116
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,892
Pond10Fish6_TimeLeft,73.3
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,1.115
Pond10Fish7_PondTime,57.983
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,903
Pond10Fish7_TimeLeft,63.433
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.02
Pond10Fish8_PondTime,68.915
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,914
Pond10Fish8_TimeLeft,52.501
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,0.991
Pond10Fish9_PondTime,81.283
Pond10Fish9_PondOutcome,99
Pond10Fish9_TotalOutcome,925
Pond10Fish9_TimeLeft,40.133
Type,N
FishN,19
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,1.277
Pond10Fish10_PondTime,95.648
Pond10Fish10_PondOutcome,110
Pond10Fish10_TotalOutcome,936
Pond10Fish10_TimeLeft,25.768
Type,N
FishN,19
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,12
Pond10Fish11_CatchTime,1.041
Pond10Fish11_PondTime,113.013
Pond10Fish11_PondOutcome,121
Pond10Fish11_TotalOutcome,947
Pond10Fish11_TimeLeft,8.402
