,5d209dad84b46c000177a6595d209dad84b46c000177a659
Type,RD
FishN,15
Fish,14
Pond7Fish14_FishType,blue
Pond7Fish14_FishLatency,15
Pond7Fish14_CatchTime,-1
Pond7Fish14_PondTime,148.434
Pond7Fish14_PondOutcome,122
Pond7Fish14_TotalOutcome,909
Pond7Fish14_TimeLeft,97.51
