,5c704329d25ffb00016fa39f
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,1.325
Pond3Fish1_PondTime,9.792
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,872
Pond3Fish1_TimeLeft,184.556
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,-1
Pond3Fish2_PondTime,18.229
Pond3Fish2_PondOutcome,12
Pond3Fish2_TotalOutcome,872
Pond3Fish2_TimeLeft,176.119
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.187
Pond3Fish3_PondTime,27.305
Pond3Fish3_PondOutcome,24
Pond3Fish3_TotalOutcome,884
Pond3Fish3_TimeLeft,167.043
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.909
Pond3Fish4_PondTime,37.206
Pond3Fish4_PondOutcome,36
Pond3Fish4_TotalOutcome,896
Pond3Fish4_TimeLeft,157.142
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,gray
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.222
Pond3Fish5_PondTime,48.166
Pond3Fish5_PondOutcome,38
Pond3Fish5_TotalOutcome,898
Pond3Fish5_TimeLeft,146.182
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.042
Pond3Fish6_PondTime,60.58
Pond3Fish6_PondOutcome,50
Pond3Fish6_TotalOutcome,910
Pond3Fish6_TimeLeft,133.768
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,1.268
Pond3Fish7_PondTime,74.977
Pond3Fish7_PondOutcome,62
Pond3Fish7_TotalOutcome,922
Pond3Fish7_TimeLeft,119.371
PondEnd_LastFish,7
FishN,19
Type,RD
GiveUpTime,2.021
PondTime,76.471
TimeLeft,117.373
PondOutcome,62
TotalOutcome,922
PondStart,PondStart
PondIntroTime,18.959691771306098
Type,RD
FishN,12
Fish,1
Pond5Fish1_FishType,blue
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,1.38
Pond5Fish1_PondTime,9.325
Pond5Fish1_PondOutcome,12
Pond5Fish1_TotalOutcome,934
Pond5Fish1_TimeLeft,88.454
Type,RD
FishN,12
Fish,2
Pond5Fish2_FishType,blue
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.231
Pond5Fish2_PondTime,17.192
Pond5Fish2_PondOutcome,24
Pond5Fish2_TotalOutcome,946
Pond5Fish2_TimeLeft,80.587
Type,RD
FishN,12
Fish,3
Pond5Fish3_FishType,blue
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.868
Pond5Fish3_PondTime,25.59
Pond5Fish3_PondOutcome,36
Pond5Fish3_TotalOutcome,958
Pond5Fish3_TimeLeft,72.189
Type,RD
FishN,12
Fish,4
Pond5Fish4_FishType,blue
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,-1
Pond5Fish4_PondTime,36.418
Pond5Fish4_PondOutcome,36
Pond5Fish4_TotalOutcome,958
Pond5Fish4_TimeLeft,61.361
