,5b7ebc73a09ccc0001316a2e
Pond11Fish4_TimeLeft,307.926
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,gray
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,0.871
Pond11Fish5_PondTime,47.976
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,903
Pond11Fish5_TimeLeft,296.977
PondEnd_LastFish,5
FishN,14
Type,RD
GiveUpTime,0.816
PondTime,60.243
TimeLeft,284.208
PondOutcome,50
TotalOutcome,903
PondStart,PondStart
PondIntroTime,11.745656488928944
Type,RD
FishN,19
Fish,1
Pond1Fish1_FishType,blue
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,0.658
Pond1Fish1_PondTime,7.825
Pond1Fish1_PondOutcome,12
Pond1Fish1_TotalOutcome,915
Pond1Fish1_TimeLeft,264.009
Type,RD
FishN,19
Fish,2
Pond1Fish2_FishType,blue
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,0.648
Pond1Fish2_PondTime,13.947
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,927
Pond1Fish2_TimeLeft,257.887
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,0.65
Pond1Fish3_PondTime,20.323
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,939
Pond1Fish3_TimeLeft,251.511
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,2.044
Pond1Fish4_PondTime,27.043
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,951
Pond1Fish4_TimeLeft,244.791
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.592
Pond1Fish5_PondTime,34.029
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,963
Pond1Fish5_TimeLeft,237.805
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.699
Pond1Fish6_PondTime,41.385
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,975
Pond1Fish6_TimeLeft,230.449
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.828
Pond1Fish7_PondTime,49.214
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,987
Pond1Fish7_TimeLeft,222.62
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.567
Pond1Fish8_PondTime,57.584
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,999
Pond1Fish8_TimeLeft,214.25
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,1.236
Pond1Fish9_PondTime,66.611
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,1011
Pond1Fish9_TimeLeft,205.223
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.578
Pond1Fish10_PondTime,76.48
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,1023
Pond1Fish10_TimeLeft,195.353
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,gray
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,0.464
Pond1Fish11_PondTime,87.428
Pond1Fish11_PondOutcome,122
Pond1Fish11_TotalOutcome,1025
Pond1Fish11_TimeLeft,184.406
PondEnd_LastFish,11
FishN,19
Type,RD
GiveUpTime,0.724
PondTime,99.39
TimeLeft,171.942
PondOutcome,122
TotalOutcome,1025
PondStart,PondStart
PondIntroTime,13.240684987977147
Type,RT
FishN,15
Fish,1
Pond7Fish1_FishType,purple
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.905
Pond7Fish1_PondTime,8.025
Pond7Fish1_PondOutcome,10
Pond7Fish1_TotalOutcome,1035
Pond7Fish1_TimeLeft,150.039
Type,RT
FishN,15
Fish,2
Pond7Fish2_FishType,purple
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,0.686
Pond7Fish2_PondTime,14.396
Pond7Fish2_PondOutcome,20
Pond7Fish2_TotalOutcome,1045
Pond7Fish2_TimeLeft,143.668
Type,RT
FishN,15
Fish,3
Pond7Fish3_FishType,purple
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,0.596
Pond7Fish3_PondTime,21.055
Pond7Fish3_PondOutcome,30
Pond7Fish3_TotalOutcome,1055
Pond7Fish3_TimeLeft,137.009
Type,RT
FishN,15
Fish,4
Pond7Fish4_FishType,purple
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,0.657
Pond7Fish4_PondTime,28.039
Pond7Fish4_PondOutcome,40
Pond7Fish4_TotalOutcome,1065
Pond7Fish4_TimeLeft,130.025
Type,RT
FishN,15
Fish,5
Pond7Fish5_FishType,purple
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,0.61
Pond7Fish5_PondTime,35.415
Pond7Fish5_PondOutcome,50
Pond7Fish5_TotalOutcome,1075
Pond7Fish5_TimeLeft,122.649
Type,RT
FishN,15
Fish,6
Pond7Fish6_FishType,purple
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.936
Pond7Fish6_PondTime,43.236
Pond7Fish6_PondOutcome,60
Pond7Fish6_TotalOutcome,1085
Pond7Fish6_TimeLeft,114.828
Type,RT
FishN,15
Fish,7
Pond7Fish7_FishType,purple
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,0.779
Pond7Fish7_PondTime,51.594
Pond7Fish7_PondOutcome,70
Pond7Fish7_TotalOutcome,1095
Pond7Fish7_TimeLeft,106.47
Type,RT
FishN,15
Fish,8
Pond7Fish8_FishType,purple
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.572
Pond7Fish8_PondTime,60.624
Pond7Fish8_PondOutcome,80
Pond7Fish8_TotalOutcome,1105
Pond7Fish8_TimeLeft,97.44
Type,RT
FishN,15
Fish,9
Pond7Fish9_FishType,purple
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,0.458
Pond7Fish9_PondTime,70.504
Pond7Fish9_PondOutcome,90
Pond7Fish9_TotalOutcome,1115
Pond7Fish9_TimeLeft,87.56
Type,RT
FishN,15
Fish,10
Pond7Fish10_FishType,purple
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.475
Pond7Fish10_PondTime,81.453
Pond7Fish10_PondOutcome,100
Pond7Fish10_TotalOutcome,1125
Pond7Fish10_TimeLeft,76.611
PondEnd_LastFish,10
FishN,15
Type,RT
GiveUpTime,0.362
PondTime,81.497
TimeLeft,76.06
PondOutcome,100
TotalOutcome,1125
PondStart,PondStart
PondIntroTime,11.91408357815817
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,5
Pond2Fish1_CatchTime,1.14
Pond2Fish1_PondTime,9.749
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,1135
Pond2Fish1_TimeLeft,53.758
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,purple
Pond2Fish2_FishLatency,5.454545454545454
Pond2Fish2_CatchTime,1.647
Pond2Fish2_PondTime,18.122
Pond2Fish2_PondOutcome,20
Pond2Fish2_TotalOutcome,1145
Pond2Fish2_TimeLeft,45.385
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,6
Pond2Fish3_CatchTime,1.66
Pond2Fish3_PondTime,27.158
Pond2Fish3_PondOutcome,30
Pond2Fish3_TotalOutcome,1155
Pond2Fish3_TimeLeft,36.349
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,6.666666666666667
Pond2Fish4_CatchTime,1.702
Pond2Fish4_PondTime,37.038
Pond2Fish4_PondOutcome,40
Pond2Fish4_TotalOutcome,1165
Pond2Fish4_TimeLeft,26.469
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,7.5
Pond2Fish5_CatchTime,0.754
Pond2Fish5_PondTime,47.97
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,1175
Pond2Fish5_TimeLeft,15.537
PondEnd_LastFish,5
FishN,12
Type,RT
GiveUpTime,0.694
PondTime,59.99
TimeLeft,3.012
PondOutcome,50
TotalOutcome,1175
PondStart,PondStart
PondIntroTime,18.48350490676239
