,5c94bac30955b70012a521ce
Pond6Fish7_PondTime,47.073
Pond6Fish7_PondOutcome,80
Pond6Fish7_TotalOutcome,920
Pond6Fish7_TimeLeft,132.422
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.676
Pond6Fish8_PondTime,54.919
Pond6Fish8_PondOutcome,90
Pond6Fish8_TotalOutcome,930
Pond6Fish8_TimeLeft,124.576
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,purple
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,1.155
Pond6Fish9_PondTime,63.285
Pond6Fish9_PondOutcome,100
Pond6Fish9_TotalOutcome,940
Pond6Fish9_TimeLeft,116.21
Type,RT
FishN,19
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.638
Pond6Fish10_PondTime,72.333
Pond6Fish10_PondOutcome,110
Pond6Fish10_TotalOutcome,950
Pond6Fish10_TimeLeft,107.162
Type,RT
FishN,19
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,0.762
Pond6Fish11_PondTime,82.206
Pond6Fish11_PondOutcome,120
Pond6Fish11_TotalOutcome,960
Pond6Fish11_TimeLeft,97.289
Type,RT
FishN,19
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,1.202
Pond6Fish12_PondTime,93.145
Pond6Fish12_PondOutcome,130
Pond6Fish12_TotalOutcome,970
Pond6Fish12_TimeLeft,86.35
Type,RT
FishN,19
Fish,13
Pond6Fish13_FishType,purple
Pond6Fish13_FishLatency,8.571428571428571
Pond6Fish13_CatchTime,1.183
Pond6Fish13_PondTime,105.516
Pond6Fish13_PondOutcome,140
Pond6Fish13_TotalOutcome,980
Pond6Fish13_TimeLeft,73.979
Type,RT
FishN,19
Fish,14
Pond6Fish14_FishType,purple
Pond6Fish14_FishLatency,10
Pond6Fish14_CatchTime,1.101
Pond6Fish14_PondTime,119.906
Pond6Fish14_PondOutcome,150
Pond6Fish14_TotalOutcome,990
Pond6Fish14_TimeLeft,59.589
Type,RT
FishN,19
Fish,15
Pond6Fish15_FishType,purple
Pond6Fish15_FishLatency,12
Pond6Fish15_CatchTime,1.281
Pond6Fish15_PondTime,137.28
Pond6Fish15_PondOutcome,160
Pond6Fish15_TotalOutcome,1000
Pond6Fish15_TimeLeft,42.215
Type,RT
FishN,19
Fish,16
Pond6Fish16_FishType,golden
Pond6Fish16_FishLatency,15
Pond6Fish16_CatchTime,0.983
Pond6Fish16_PondTime,159.653
Pond6Fish16_PondOutcome,180
Pond6Fish16_TotalOutcome,1020
Pond6Fish16_TimeLeft,19.842
