,5c0d39b34bc2690001b65ade
Fish,5
Pond7Fish5_FishType,blue
Pond7Fish5_FishLatency,4
Pond7Fish5_CatchTime,0.755
Pond7Fish5_PondTime,32.64
Pond7Fish5_PondOutcome,60
Pond7Fish5_TotalOutcome,938
Pond7Fish5_TimeLeft,269.185
Type,RD
FishN,15
Fish,6
Pond7Fish6_FishType,blue
Pond7Fish6_FishLatency,4.285714285714286
Pond7Fish6_CatchTime,0.809
Pond7Fish6_PondTime,39.621
Pond7Fish6_PondOutcome,72
Pond7Fish6_TotalOutcome,950
Pond7Fish6_TimeLeft,262.204
Type,RD
FishN,15
Fish,7
Pond7Fish7_FishType,blue
Pond7Fish7_FishLatency,4.615384615384615
Pond7Fish7_CatchTime,0.882
Pond7Fish7_PondTime,46.987
Pond7Fish7_PondOutcome,84
Pond7Fish7_TotalOutcome,962
Pond7Fish7_TimeLeft,254.839
Type,RD
FishN,15
Fish,8
Pond7Fish8_FishType,blue
Pond7Fish8_FishLatency,5
Pond7Fish8_CatchTime,0.986
Pond7Fish8_PondTime,54.8
Pond7Fish8_PondOutcome,96
Pond7Fish8_TotalOutcome,974
Pond7Fish8_TimeLeft,247.026
Type,RD
FishN,15
Fish,9
Pond7Fish9_FishType,blue
Pond7Fish9_FishLatency,5.454545454545454
Pond7Fish9_CatchTime,0.693
Pond7Fish9_PondTime,63.167
Pond7Fish9_PondOutcome,108
Pond7Fish9_TotalOutcome,986
Pond7Fish9_TimeLeft,238.659
Type,RD
FishN,15
Fish,10
Pond7Fish10_FishType,blue
Pond7Fish10_FishLatency,6
Pond7Fish10_CatchTime,0.572
Pond7Fish10_PondTime,72.202
Pond7Fish10_PondOutcome,120
Pond7Fish10_TotalOutcome,998
Pond7Fish10_TimeLeft,229.624
Type,RD
FishN,15
Fish,11
Pond7Fish11_FishType,blue
Pond7Fish11_FishLatency,6.666666666666667
Pond7Fish11_CatchTime,0.732
Pond7Fish11_PondTime,82.062
Pond7Fish11_PondOutcome,132
Pond7Fish11_TotalOutcome,1010
Pond7Fish11_TimeLeft,219.764
Type,RD
FishN,15
Fish,12
Pond7Fish12_FishType,blue
Pond7Fish12_FishLatency,7.5
Pond7Fish12_CatchTime,1.096
Pond7Fish12_PondTime,92.993
Pond7Fish12_PondOutcome,144
Pond7Fish12_TotalOutcome,1022
Pond7Fish12_TimeLeft,208.833
PondEnd_LastFish,12
FishN,15
Type,RD
GiveUpTime,1.353
PondTime,93.643
TimeLeft,207.68
PondOutcome,144
TotalOutcome,1022
PondStart,PondStart
PondIntroTime,15.55880272993818
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,purple
Pond10Fish1_FishLatency,4.615384615384615
Pond10Fish1_CatchTime,0.594
Pond10Fish1_PondTime,9.28
Pond10Fish1_PondOutcome,10
Pond10Fish1_TotalOutcome,1032
Pond10Fish1_TimeLeft,182.225
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,5
Pond10Fish2_CatchTime,0.725
Pond10Fish2_PondTime,17.097
Pond10Fish2_PondOutcome,20
Pond10Fish2_TotalOutcome,1042
Pond10Fish2_TimeLeft,174.408
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,5.454545454545454
Pond10Fish3_CatchTime,0.707
Pond10Fish3_PondTime,25.462
Pond10Fish3_PondOutcome,30
Pond10Fish3_TotalOutcome,1052
Pond10Fish3_TimeLeft,166.043
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,6
Pond10Fish4_CatchTime,0.764
Pond10Fish4_PondTime,34.492
Pond10Fish4_PondOutcome,40
Pond10Fish4_TotalOutcome,1062
Pond10Fish4_TimeLeft,157.013
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,6.666666666666667
Pond10Fish5_CatchTime,0.758
Pond10Fish5_PondTime,44.357
Pond10Fish5_PondOutcome,50
Pond10Fish5_TotalOutcome,1072
Pond10Fish5_TimeLeft,147.148
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,7.5
Pond10Fish6_CatchTime,0.588
Pond10Fish6_PondTime,55.286
Pond10Fish6_PondOutcome,60
Pond10Fish6_TotalOutcome,1082
Pond10Fish6_TimeLeft,136.219
PondEnd_LastFish,6
FishN,19
Type,RT
GiveUpTime,0.877
PondTime,67.608
TimeLeft,123.385
PondOutcome,60
TotalOutcome,1082
PondStart,PondStart
PondIntroTime,13.664454005192965
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,1.024
Pond5Fish1_PondTime,7.797
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,1092
Pond5Fish1_TimeLeft,101.295
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,0.699
Pond5Fish2_PondTime,13.913
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,1102
Pond5Fish2_TimeLeft,95.18
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.825
Pond5Fish3_PondTime,20.282
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,1112
Pond5Fish3_TimeLeft,88.81
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,0.679
Pond5Fish4_PondTime,26.927
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,1122
Pond5Fish4_TimeLeft,82.166
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,golden
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,0.805
Pond5Fish5_PondTime,33.91
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,1142
Pond5Fish5_TimeLeft,75.183
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,0.803
Pond5Fish6_PondTime,41.275
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,1152
Pond5Fish6_TimeLeft,67.818
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,0.56
Pond5Fish7_PondTime,49.087
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,1162
Pond5Fish7_TimeLeft,60.006
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,0.728
Pond5Fish8_PondTime,57.452
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,1172
Pond5Fish8_TimeLeft,51.641
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,1.037
Pond5Fish9_PondTime,66.483
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,1182
Pond5Fish9_TimeLeft,42.61
PondEnd_LastFish,9
FishN,12
Type,RT
GiveUpTime,1.241
PondTime,66.972
TimeLeft,41.619
PondOutcome,100
TotalOutcome,1182
PondStart,PondStart
PondIntroTime,17.246308254543692
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,golden
Pond4Fish1_FishLatency,5
Pond4Fish1_CatchTime,0.775
Pond4Fish1_PondTime,9.733
Pond4Fish1_PondOutcome,20
Pond4Fish1_TotalOutcome,1202
Pond4Fish1_TimeLeft,14.016
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,golden
Pond4Fish2_FishLatency,5.454545454545454
Pond4Fish2_CatchTime,0.707
Pond4Fish2_PondTime,18.098
Pond4Fish2_PondOutcome,40
Pond4Fish2_TotalOutcome,1222
Pond4Fish2_TimeLeft,5.651
