,5af42fb7c937e00001113bb0
Pond7Fish2_TotalOutcome,928
Pond7Fish2_TimeLeft,97.577
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4
Pond7Fish3_CatchTime,1.197
Pond7Fish3_PondTime,21.019
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,939
Pond7Fish3_TimeLeft,90.936
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.697
Pond7Fish4_PondTime,27.998
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,950
Pond7Fish4_TimeLeft,83.957
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.585
Pond7Fish5_PondTime,35.367
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,961
Pond7Fish5_TimeLeft,76.587
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,0.702
Pond7Fish6_PondTime,43.176
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,972
Pond7Fish6_TimeLeft,68.779
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.179
Pond7Fish7_PondTime,51.539
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,983
Pond7Fish7_TimeLeft,60.415
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,0.957
Pond7Fish8_PondTime,60.57
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,994
Pond7Fish8_TimeLeft,51.384
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.426
Pond7Fish9_PondTime,70.439
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,1005
Pond7Fish9_TimeLeft,41.516
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.04
Pond7Fish10_PondTime,81.376
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,1016
Pond7Fish10_TimeLeft,30.578
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.599
Pond7Fish11_PondTime,93.734
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,1027
Pond7Fish11_TimeLeft,18.221
Type,N
FishN,15
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.058
Pond7Fish12_PondTime,108.101
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,1038
Pond7Fish12_TimeLeft,3.854
