,5c27fbd7da51990001e2ed0b
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,1.007
Pond7Fish6_PondTime,41.46
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,867
Pond7Fish6_TimeLeft,150.903
PondEnd_LastFish,6
FishN,15
Type,N
GiveUpTime,1.213
PondTime,41.905
TimeLeft,149.955
PondOutcome,66
TotalOutcome,867
PondStart,PondStart
PondIntroTime,18.359195473603904
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,0.929
Pond6Fish1_PondTime,7.635
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,877
Pond6Fish1_TimeLeft,123.318
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,purple
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.033
Pond6Fish2_PondTime,13.54
Pond6Fish2_PondOutcome,20
Pond6Fish2_TotalOutcome,887
Pond6Fish2_TimeLeft,117.414
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,1.127
Pond6Fish3_PondTime,19.677
Pond6Fish3_PondOutcome,30
Pond6Fish3_TotalOutcome,897
Pond6Fish3_TimeLeft,111.277
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,golden
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,0.8
Pond6Fish4_PondTime,26.047
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,917
Pond6Fish4_TimeLeft,104.906
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.002
Pond6Fish5_PondTime,32.719
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,927
Pond6Fish5_TimeLeft,98.235
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,0.936
Pond6Fish6_PondTime,39.724
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,937
Pond6Fish6_TimeLeft,91.23
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,golden
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.026
Pond6Fish7_PondTime,47.095
Pond6Fish7_PondOutcome,90
Pond6Fish7_TotalOutcome,957
Pond6Fish7_TimeLeft,83.859
Type,RT
FishN,19
Fish,8
Pond6Fish8_FishType,purple
Pond6Fish8_FishLatency,5
Pond6Fish8_CatchTime,1.029
Pond6Fish8_PondTime,54.933
Pond6Fish8_PondOutcome,100
Pond6Fish8_TotalOutcome,967
Pond6Fish8_TimeLeft,76.021
Type,RT
FishN,19
Fish,9
Pond6Fish9_FishType,golden
Pond6Fish9_FishLatency,5.454545454545454
Pond6Fish9_CatchTime,0.993
Pond6Fish9_PondTime,63.305
Pond6Fish9_PondOutcome,120
Pond6Fish9_TotalOutcome,987
Pond6Fish9_TimeLeft,67.649
Type,RT
FishN,19
Fish,10
Pond6Fish10_FishType,purple
Pond6Fish10_FishLatency,6
Pond6Fish10_CatchTime,1.368
Pond6Fish10_PondTime,72.345
Pond6Fish10_PondOutcome,130
Pond6Fish10_TotalOutcome,997
Pond6Fish10_TimeLeft,58.609
Type,RT
FishN,19
Fish,11
Pond6Fish11_FishType,purple
Pond6Fish11_FishLatency,6.666666666666667
Pond6Fish11_CatchTime,1.724
Pond6Fish11_PondTime,82.253
Pond6Fish11_PondOutcome,140
Pond6Fish11_TotalOutcome,1007
Pond6Fish11_TimeLeft,48.701
Type,RT
FishN,19
Fish,12
Pond6Fish12_FishType,purple
Pond6Fish12_FishLatency,7.5
Pond6Fish12_CatchTime,0.785
Pond6Fish12_PondTime,93.19
Pond6Fish12_PondOutcome,150
Pond6Fish12_TotalOutcome,1017
Pond6Fish12_TimeLeft,37.764
PondEnd_LastFish,12
FishN,19
Type,RT
GiveUpTime,0.495
PondTime,105.26
TimeLeft,25.19
PondOutcome,150
TotalOutcome,1017
PondStart,PondStart
PondIntroTime,17.762054749764502
